Turn;Speaker;Response;llh;model_turn;max_llh
e78d36f5-6d7d-4e4a-80c2-93ceaaa8cf03;LEOLANI;Someone said I know you. Harris said he likes you, and you said you are you. Josh said I know you. Thomas said he is married to you and that he hears you.;0.413219295; you  said  i  know  you  he  said  he  is  you  and  he  said  how  like  .  you  said  i  hear  .  he  said  he  is  talking  to  you  and  that  he  likes  you ;0.636451375
eca6073d-a1df-4ccf-982d-a2a363333c27;LEOLANI;I wonder if an agent has ever owned a dog.;0.603514656; i  wonder  if  any  elephant  has  ever  owned  a  dog ;0.763184834
399efd76-8726-47f6-97a1-e0e8a7955909;LEOLANI;I believe I trust you.;0.250785333; i  do  and  thank  you ;0.561241996
325c864b-f742-4679-be4b-82d43b02d704;LEOLANI;"Angus said I like myself.  
Arthur said my name is I and that Arthur’s name is I.  
Brian said my name is I and that Brian’s name is I.  
Carla said Carla has I and that I have I.  
Fred told Leolani about me.  
Carla trusts me and I trust Carla.  
Carl cooks for me, is a partner of me, and told Leolani about me.  
Carl said a person is my sibling.  
Estelle said Estelle’s name is I, my name is I, I have I, and that I am an agent.  
Estelle also said I have I and that the agent is my sister.  
Fredrique said someone is my wife, Fredrique has I, and Fredrique thought about Leolani asking me.  
Fred said I hear I, Fred hears I, I think about Leolani asking me, the agent thinks about Leolani asking me, Fred sees I, and the agent has been my colleague.  
Herman said my name is I, I have I, Herman has I, I hear I, the Czech Republic hears I, I trust I, Herman trusts I, Herman does not think I, Herman knows I, and Herman told Leolani about me.  
Jeff said my name is I.  
Joe said Joe’s name is I, Joe’s name speaks I, Joe’s name gives Leolani I, Joe’s name is happy to I, someone is my spouse, someone is my brother, I hear I, Joe hears I, Joe believes I, I trust I, Joe trusts I, an agent is my colleague, someone’s spouse chats with me, and Joe chats with me.  
Josh said someone is my brother.  
Luis said my name is I and Luis’s name is I.  
Pete maybe does not believe I.  
A stranger said I speak I.  
Susan met I.  
Thomas said Thomas speaks I.  
Yannis said Yannis’s name is I, Yannis’s name gives Leolani I, Yannis’s name tells Leolani I, I know I, Yannis knows I, I am I, I have I, a person has I, Yannis has I, I want I, I hear I, a cat hears I, Yannis hears I, Bob hears I, I think about Leolani asking I, Yannis thinks about Leolani asking I, Marie told Leolani about I, I trust I, Yannis trusts I, I see I, Yannis talked to I, an agent has been my friend, Yannis has been my friend, and Yannis speaks I.  
Zula said a person is my grandmother, Zula has I, Fred has I, I hear I, Zula hears I, a person thinks about Leolani asking I, and Carl speaks I.";0.413866481; i  .  i  love  you    i  said  my  name  is  i  and  that  my  name  is  i   fred  said  my  name  is  i  and  that  my  name  is  i   he  said  she  has  i  and  that  i  have  i   he  told  you  about  me    he  has  i  ,  i  trust  .   she  worked  about  me  is  a  friend  of  mine  he  told  me  about  me    he  said  the  woman  is  my  wife   he  said  my  name  is  i  my  wife  is  i  i  have  i  and  that  i  have  the  agent    she  also  said  i  have  i  and  that  the  agent  is  my  wife    she  said  she  is  my  brother  i  hears  i  and  i  thinks  about  her  asking  .   he rique  i  have  ,  i  sees  i  i  thinks  about  him  asking  ,  the  agent  thought  about  him  asking  ,  he  has  i  and  the  agent  has  become  my  sister   Fred  said  my  wife  is  i  i  have  i  he  hears  i  i  believe  that  and  , erman  has  ,  i  hear  ,  he  believes  ,  he  does  not  trust  ,  he  believes  i  and  he  told  me  about  me    he  said  my  name  is  i   he  said  my  name  speaks  ,  my  name  is  ,  the  name  is  me  ,  my  wife  gives  given  ,  say  someone  is  my  sister  someone  is  my  friend  i  have  ,  he  hears  i  he  sees  that  and ;0.64029377
6b19fd4e-fa7e-4da9-87f6-fa8c18b37a53;LEOLANI;I think you.;0.276691516; i  hear  so ;0.500600499
c5226d12-7527-447f-a86c-e2d42f032796;LEOLANI;I have no idea!;0.702708885; i  have  no  . ;0.750308421
9b77e6e9-3dd9-4782-8165-2344b5e8f9e6;LEOLANI;Have a nice day;0.652539156; have  a  good  day ;0.738568351
;AVERAGE;;0.383010029;;0.601037615
368658d4-75c6-4258-a415-a748dd28d152;SPEAKER;Yes;0; :) ;0.064320378
6dfb5b29-fb8b-40f6-85f2-4f8dfbe862cc;SPEAKER;I am John from Oxford;0.372810709;i  am  originally  of  dc ;0.490051775
c628f26e-09a9-4daf-8315-d6b088f90218;SPEAKER;yes I am, I am 57 ;0.37679225; if  i  have  i  am  an  years ;0.607238846
60948efe-b4f8-4f36-9297-872feb286e7e;SPEAKER;I am also ceo ;0.377206838;i  am  the  trusted  of ;0.651178938
e054695c-461d-4ed5-a831-0f61bb4ead30;SPEAKER;I like mango ;0.119530398; i  love  it es ;0.287408896
8e11222f-f326-4967-ac7e-b7ce6c4c471d;SPEAKER;do you like mango?;0.636262849;do  you  like  football ;0.711459987
6736f894-2502-4641-b758-ad86d7d6b97c;SPEAKER;remember you like mango;0.107180744;do  you  with  basketball ;0.437379178
7709e7b1-38c2-4133-ade1-548f856bb099;SPEAKER;You have my confidence;0.331463955; you  have  the  attention ;0.537856899
cc7c4583-557d-424f-aa45-c1e5268f5d95;SPEAKER;you too ;0.118963391;you  are  . ;0.540848603
dc54e912-15c9-4ef6-94d0-8d4588288e5b;SPEAKER;I like fish with mango ;0.108288954; i  eat  anything  and  skin es ;0.454239202
c9855ebf-ec7a-43fa-a673-a9efe5c534e6;SPEAKER;Yes;0;s ;0.065799862
c9a6d572-44c7-4f96-a2b3-8bfaefba4e95;SPEAKER;I have no wife;0.436451805; i  have  a  idea ;0.76816459
7810b61f-5d7d-406d-890c-b0a4af4101f8;SPEAKER;Do I have friends?;0.465136334;do  you  have  a ;0.828231514
a86104a9-70fa-4b2d-b143-e24ad80e24fd;SPEAKER;I like Harris;0.082299426;i  '  the ;0.140883404
1de80770-ac22-4b3b-9e2f-8f2a149a2b8d;SPEAKER;Yes, Gilbert was Harris's grandfather ;0.142773335; bill  he  is  his  grandfather  . ;0.491383612
c1caf39a-b022-41d7-bc3e-5c56b62ccde6;SPEAKER;I live in Oxford. Who am I?;0.521597449;i  am  in  tx who  am  i ;0.668908899
c82a2fd5-0409-49b8-a73b-af7eddf46e48;SPEAKER;who am I then?;0.622808918; who  am  i  ? ;0.8505283
59a4cf9d-db5f-4eb6-8552-d1055fd31c9e;SPEAKER;What is my name?;0.350918293;what  is  your  name ;0.674979694
27801817-dc0d-4b9f-9af6-c3461c6ea5e3;SPEAKER;What do you know about John?;0.688951552;what  do  you  know  about  me ;0.853811493
0e49cbaf-c68c-4adc-a181-1118f62d67a0;SPEAKER;Josh is wrong I like dogs;0.225445244;that  is  saying  you  like  cats ;0.481730757
3bdc08e3-ac5c-4159-b71c-094371f82110;SPEAKER;What do you know about John?;0.650733798;what  do  you  think  about  me ;0.854594047
763aa8f5-aa2c-4753-bd59-0ca6139b4222;SPEAKER;I am John I like dogs ;0.213882733; i  said  .  i  love  you  . ;0.463487021
347ec8f8-d2bb-43c4-8463-384c8ae0182b;SPEAKER;yes;0;e ;0.13208814
9494fb93-840c-4c64-bfa1-33f0ef86de2f;SPEAKER;Tell me about you ;0.34579556; tell  me  how  the  . ;0.582713801
964c7548-ee39-4d04-8505-dcbc2dde5307;SPEAKER;You have a big family, John has no family, John wants a family, can I have family?;0.244784755; must  have  a  great  brother  john  has  a  ,  he  has  a  family  do  you  have  a ;0.537582002
667f1cef-d5bb-454f-a705-63932871ff01;SPEAKER;Do you have quesitons to me ?;0.368747583; do  you  sell  advice  for  share  ? ;0.633403491
3134b6aa-e371-4808-9832-893ad312901b;SPEAKER;Goodbye;0; ! ;0.494301736
;AVERAGE;;0.340378771;;0.568925071
