"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government"
"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property && 11th_Mississippi_Infantry_Monument | country | ""United States"""
"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property && 11th_Mississippi_Infantry_Monument | country | ""United States"""
"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property && 11th_Mississippi_Infantry_Monument | country | ""United States"""
Mexico | currency | Mexican_peso && Mexico | demonym | Mexicans && Bionico | course | Dessert && Bionico | dishVariation | Honey && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Mexico | demonym | Mexicans && Bionico | course | Dessert && Bionico | dishVariation | Honey && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Mexico | demonym | Mexicans && Bionico | course | Dessert && Bionico | dishVariation | Honey && Bionico | country | Mexico
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | country | ""United States"""
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | country | ""United States"""
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | country | ""United States"""
English_Without_Tears | director | Harold_French && Terence_Rattigan | deathYear | 1977-01-01 && Harold_French | activeYearsStartYear | 1920-01-01 && English_Without_Tears | writer | Anatole_de_Grunwald && English_Without_Tears | writer | Terence_Rattigan
English_Without_Tears | director | Harold_French && Terence_Rattigan | deathYear | 1977-01-01 && Harold_French | activeYearsStartYear | 1920-01-01 && English_Without_Tears | writer | Anatole_de_Grunwald && English_Without_Tears | writer | Terence_Rattigan
English_Without_Tears | director | Harold_French && Terence_Rattigan | deathYear | 1977-01-01 && Harold_French | activeYearsStartYear | 1920-01-01 && English_Without_Tears | writer | Anatole_de_Grunwald && English_Without_Tears | writer | Terence_Rattigan
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSouthwest | Frederick_County,_Maryland && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSouthwest | Frederick_County,_Maryland && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSouthwest | Frederick_County,_Maryland && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Virginia && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Virginia && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Virginia && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
University_of_Burgundy | staff | 2900 && University_of_Burgundy | numberOfDoctoralStudents | 1299 && University_of_Burgundy | campus | Dijon && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | staff | 2900 && University_of_Burgundy | numberOfDoctoralStudents | 1299 && University_of_Burgundy | campus | Dijon && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | staff | 2900 && University_of_Burgundy | numberOfDoctoralStudents | 1299 && University_of_Burgundy | campus | Dijon && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | numberOfPostgraduateStudents | 9400
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | writer | Terence_Rattigan && English_Without_Tears | runtime | 89.0 && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | musicComposer | Nicholas_Brodszky
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | writer | Terence_Rattigan && English_Without_Tears | runtime | 89.0 && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | musicComposer | Nicholas_Brodszky
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | writer | Terence_Rattigan && English_Without_Tears | runtime | 89.0 && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | musicComposer | Nicholas_Brodszky
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | producer | Sarah_Teale && Death_on_a_Factory_Farm | director | Sarah_Teale && Death_on_a_Factory_Farm | runtime | 83.0
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | producer | Sarah_Teale && Death_on_a_Factory_Farm | director | Sarah_Teale && Death_on_a_Factory_Farm | runtime | 83.0
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | producer | Sarah_Teale && Death_on_a_Factory_Farm | director | Sarah_Teale && Death_on_a_Factory_Farm | runtime | 83.0
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Williamsburg,_Virginia && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Williamsburg,_Virginia && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Williamsburg,_Virginia && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0 && It's_Great_to_Be_Young_(1956_film) | starring | Cecil_Parker
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0 && It's_Great_to_Be_Young_(1956_film) | starring | Cecil_Parker
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0 && It's_Great_to_Be_Young_(1956_film) | starring | Cecil_Parker
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | birthPlace | German_Empire
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | birthPlace | German_Empire
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | birthPlace | German_Empire
Pontiac_Rageous | productionStartYear | 1997 && Pontiac_Rageous | assembly | Michigan && Pontiac_Rageous | assembly | Detroit && Pontiac_Rageous | productionEndYear | 1997 && Pontiac_Rageous | bodyStyle | Coupe
Pontiac_Rageous | productionStartYear | 1997 && Pontiac_Rageous | assembly | Michigan && Pontiac_Rageous | assembly | Detroit && Pontiac_Rageous | productionEndYear | 1997 && Pontiac_Rageous | bodyStyle | Coupe
Pontiac_Rageous | productionStartYear | 1997 && Pontiac_Rageous | assembly | Michigan && Pontiac_Rageous | assembly | Detroit && Pontiac_Rageous | productionEndYear | 1997 && Pontiac_Rageous | bodyStyle | Coupe
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy && It's_Great_to_Be_Young_(1956_film) | starring | Cecil_Parker
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy && It's_Great_to_Be_Young_(1956_film) | starring | Cecil_Parker
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy && It's_Great_to_Be_Young_(1956_film) | starring | Cecil_Parker
Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0 && Death_on_a_Factory_Farm | producer | Sarah_Teale && Death_on_a_Factory_Farm | director | Sarah_Teale
Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0 && Death_on_a_Factory_Farm | producer | Sarah_Teale && Death_on_a_Factory_Farm | director | Sarah_Teale
Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0 && Death_on_a_Factory_Farm | producer | Sarah_Teale && Death_on_a_Factory_Farm | director | Sarah_Teale
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Petah_Tikva && Israel | ethnicGroup | Arab_citizens_of_Israel
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Petah_Tikva && Israel | ethnicGroup | Arab_citizens_of_Israel
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Petah_Tikva && Israel | ethnicGroup | Arab_citizens_of_Israel
"Super_Capers | distributor | Lionsgate && Super_Capers | director | Ray_Griggs_(director) && Super_Capers | runtime | 98.0 && Super_Capers | starring | Tom_Lister,_Jr. && Super_Capers | gross | 30955.0"
"Super_Capers | distributor | Lionsgate && Super_Capers | director | Ray_Griggs_(director) && Super_Capers | runtime | 98.0 && Super_Capers | starring | Tom_Lister,_Jr. && Super_Capers | gross | 30955.0"
"Super_Capers | distributor | Lionsgate && Super_Capers | director | Ray_Griggs_(director) && Super_Capers | runtime | 98.0 && Super_Capers | starring | Tom_Lister,_Jr. && Super_Capers | gross | 30955.0"
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""18L/36R"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""18L/36R"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""18L/36R"""
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French && English_Without_Tears | producer | Anatole_de_Grunwald
Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF && Thurleigh | postalCode | MK44 && Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && MotorSport_Vision | foundedBy | Peter_Ogden
Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF && Thurleigh | postalCode | MK44 && Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && MotorSport_Vision | foundedBy | Peter_Ogden
Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF && Thurleigh | postalCode | MK44 && Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && MotorSport_Vision | foundedBy | Peter_Ogden
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | cityServed | Bedford_Autodrome && Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | cityServed | Bedford_Autodrome && Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | cityServed | Bedford_Autodrome && Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF
"Death_on_a_Factory_Farm | producer | Tom_Simon && HBO | headquarter | New_York_City,_New_York && HBO | owner | Time_Warner && Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | producer | Sarah_Teale"
"Death_on_a_Factory_Farm | producer | Tom_Simon && HBO | headquarter | New_York_City,_New_York && HBO | owner | Time_Warner && Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | producer | Sarah_Teale"
"Death_on_a_Factory_Farm | producer | Tom_Simon && HBO | headquarter | New_York_City,_New_York && HBO | owner | Time_Warner && Death_on_a_Factory_Farm | broadcastedBy | HBO && Death_on_a_Factory_Farm | producer | Sarah_Teale"
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Madrid | country | Spain
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Madrid | country | Spain
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Madrid | country | Spain
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald && English_Without_Tears | writer | Anatole_de_Grunwald && English_Without_Tears | cinematography | Bernard_Knowles
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald && English_Without_Tears | writer | Anatole_de_Grunwald && English_Without_Tears | cinematography | Bernard_Knowles
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | producer | Anatole_de_Grunwald && English_Without_Tears | writer | Anatole_de_Grunwald && English_Without_Tears | cinematography | Bernard_Knowles
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | state | ""Pennsylvania"" && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania"
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | state | ""Pennsylvania"" && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania"
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | state | ""Pennsylvania"" && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania"
Liselotte_Grschebina | nationality | Israel && Israel | populationDensity | 387.63 && German_Empire | foundingDate | 1871-01-01 && Liselotte_Grschebina | birthPlace | German_Empire && Liselotte_Grschebina | professionalField | Photographer
Liselotte_Grschebina | nationality | Israel && Israel | populationDensity | 387.63 && German_Empire | foundingDate | 1871-01-01 && Liselotte_Grschebina | birthPlace | German_Empire && Liselotte_Grschebina | professionalField | Photographer
Liselotte_Grschebina | nationality | Israel && Israel | populationDensity | 387.63 && German_Empire | foundingDate | 1871-01-01 && Liselotte_Grschebina | birthPlace | German_Empire && Liselotte_Grschebina | professionalField | Photographer
"GMA_New_Media | keyPerson | Felipe_Gozon && GMA_New_Media | industry | Entertainment && GMA_New_Media | subsidiary | Philippine_Entertainment_Portal && GMA_New_Media | subsidiary | Digify,_Inc. && GMA_New_Media | parentCompany | GMA_Network_(company)"
"GMA_New_Media | keyPerson | Felipe_Gozon && GMA_New_Media | industry | Entertainment && GMA_New_Media | subsidiary | Philippine_Entertainment_Portal && GMA_New_Media | subsidiary | Digify,_Inc. && GMA_New_Media | parentCompany | GMA_Network_(company)"
"GMA_New_Media | keyPerson | Felipe_Gozon && GMA_New_Media | industry | Entertainment && GMA_New_Media | subsidiary | Philippine_Entertainment_Portal && GMA_New_Media | subsidiary | Digify,_Inc. && GMA_New_Media | parentCompany | GMA_Network_(company)"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | architecturalStyle | Georgian_architecture && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | architecturalStyle | Georgian_architecture && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | architecturalStyle | Georgian_architecture && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
GMA_New_Media | location | Philippines && Quezon_City | leaderParty | Liberal_Party_(Philippines) && GMA_New_Media | location | Quezon_City && GMA_New_Media | product | World_Wide_Web && Philippines | foundingDate | 1898-06-12
GMA_New_Media | location | Philippines && Quezon_City | leaderParty | Liberal_Party_(Philippines) && GMA_New_Media | location | Quezon_City && GMA_New_Media | product | World_Wide_Web && Philippines | foundingDate | 1898-06-12
GMA_New_Media | location | Philippines && Quezon_City | leaderParty | Liberal_Party_(Philippines) && GMA_New_Media | location | Quezon_City && GMA_New_Media | product | World_Wide_Web && Philippines | foundingDate | 1898-06-12
