"Adams_County,_Pennsylvania | hasToItsWest | Franklin_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && 11th_Mississippi_Infantry_Monument | category | Contributing_property && Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania"
Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | utcOffset | −6 && Ciudad_Ayala | isPartOf | Morelos && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time
Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | utcOffset | −6 && Ciudad_Ayala | isPartOf | Morelos && Ciudad_Ayala | country | Mexico && Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | professionalField | Photographer
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | professionalField | Photographer
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | professionalField | Photographer
"Alan_B._Miller_Hall | buildingEndDate | ""1 June 2009"" && Alan_B._Miller_Hall | owner | College_of_William_&_Mary && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | completionDate | 2009-06-01 && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | buildingEndDate | ""1 June 2009"" && Alan_B._Miller_Hall | owner | College_of_William_&_Mary && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | completionDate | 2009-06-01 && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | buildingEndDate | ""1 June 2009"" && Alan_B._Miller_Hall | owner | College_of_William_&_Mary && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | completionDate | 2009-06-01 && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Aaron_Turner | associatedMusicalArtist | Twilight_(band) && Aaron_Turner | activeYearsStartYear | ""1995""^^xsd:gYear && Aaron_Turner | genre | Post-metal && Aaron_Turner | instrument | Singing && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | activeYearsStartYear | 1995"
"Aaron_Turner | associatedMusicalArtist | Twilight_(band) && Aaron_Turner | activeYearsStartYear | ""1995""^^xsd:gYear && Aaron_Turner | genre | Post-metal && Aaron_Turner | instrument | Singing && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | activeYearsStartYear | 1995"
"Aaron_Turner | associatedMusicalArtist | Twilight_(band) && Aaron_Turner | activeYearsStartYear | ""1995""^^xsd:gYear && Aaron_Turner | genre | Post-metal && Aaron_Turner | instrument | Singing && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | activeYearsStartYear | 1995"
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14R/32L"" && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0"
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14R/32L"" && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0"
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14R/32L"" && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0"
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14R/32L"" && ENAIRE | city | Madrid && Madrid | country | Spain"
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14R/32L"" && ENAIRE | city | Madrid && Madrid | country | Spain"
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14R/32L"" && ENAIRE | city | Madrid && Madrid | country | Spain"
Aaron_Turner | associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar && Aaron_Turner | genre | Post-metal && Aaron_Turner | origin | Massachusetts && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar
Aaron_Turner | associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar && Aaron_Turner | genre | Post-metal && Aaron_Turner | origin | Massachusetts && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar
Aaron_Turner | associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar && Aaron_Turner | genre | Post-metal && Aaron_Turner | origin | Massachusetts && Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band) && Aaron_Turner | instrument | Electric_guitar
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | writer | Anatole_de_Grunwald
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | writer | Anatole_de_Grunwald
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | director | Harold_French && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | writer | Anatole_de_Grunwald
McVeagh_of_the_South_Seas | imdbId | 0004319 && McVeagh_of_the_South_Seas | director | Cyril_Bruce && McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | starring | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | writer | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation
McVeagh_of_the_South_Seas | imdbId | 0004319 && McVeagh_of_the_South_Seas | director | Cyril_Bruce && McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | starring | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | writer | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation
McVeagh_of_the_South_Seas | imdbId | 0004319 && McVeagh_of_the_South_Seas | director | Cyril_Bruce && McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | starring | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | writer | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14L/32R"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14L/32R"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14L/32R"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14R/32L"" && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Alcobendas | country | Spain"
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14R/32L"" && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Alcobendas | country | Spain"
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14R/32L"" && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Alcobendas | country | Spain"
"Acharya_Institute_of_Technology | president | ""B.M. Reddy""@en && Acharya_Institute_of_Technology | country | ""India""@en && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | president | ""B.M. Reddy"" && Acharya_Institute_of_Technology | country | ""India"""
"Acharya_Institute_of_Technology | president | ""B.M. Reddy""@en && Acharya_Institute_of_Technology | country | ""India""@en && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | president | ""B.M. Reddy"" && Acharya_Institute_of_Technology | country | ""India"""
"Acharya_Institute_of_Technology | president | ""B.M. Reddy""@en && Acharya_Institute_of_Technology | country | ""India""@en && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | president | ""B.M. Reddy"" && Acharya_Institute_of_Technology | country | ""India"""
"Alan_B._Miller_Hall | buildingEndDate | ""1 June 2009"" && Alan_B._Miller_Hall | owner | College_of_William_&_Mary && Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | completionDate | 2009-06-01 && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | buildingEndDate | ""1 June 2009"" && Alan_B._Miller_Hall | owner | College_of_William_&_Mary && Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | completionDate | 2009-06-01 && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | buildingEndDate | ""1 June 2009"" && Alan_B._Miller_Hall | owner | College_of_William_&_Mary && Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | completionDate | 2009-06-01 && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSouthwest | Frederick_County,_Maryland && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSouthwest | Frederick_County,_Maryland && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
University_of_Burgundy | numberOfUndergraduateStudents | 16800 && University_of_Burgundy | staff | 2900 && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | numberOfDoctoralStudents | 1299 && University_of_Burgundy | campus | Dijon && University_of_Burgundy | country | France
University_of_Burgundy | numberOfUndergraduateStudents | 16800 && University_of_Burgundy | staff | 2900 && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | numberOfDoctoralStudents | 1299 && University_of_Burgundy | campus | Dijon && University_of_Burgundy | country | France
University_of_Burgundy | numberOfUndergraduateStudents | 16800 && University_of_Burgundy | staff | 2900 && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | numberOfDoctoralStudents | 1299 && University_of_Burgundy | campus | Dijon && University_of_Burgundy | country | France
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | producer | Anatole_de_Grunwald && English_Without_Tears | writer | Anatole_de_Grunwald && English_Without_Tears | cinematography | Bernard_Knowles && English_Without_Tears | writer | Terence_Rattigan && English_Without_Tears | runtime | 89.0
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | producer | Anatole_de_Grunwald && English_Without_Tears | writer | Anatole_de_Grunwald && English_Without_Tears | cinematography | Bernard_Knowles && English_Without_Tears | writer | Terence_Rattigan && English_Without_Tears | runtime | 89.0
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | producer | Anatole_de_Grunwald && English_Without_Tears | writer | Anatole_de_Grunwald && English_Without_Tears | cinematography | Bernard_Knowles && English_Without_Tears | writer | Terence_Rattigan && English_Without_Tears | runtime | 89.0
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && ENAIRE | city | Madrid && Madrid | country | Spain && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14L/32R"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && ENAIRE | city | Madrid && Madrid | country | Spain && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""14L/32R"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && ENAIRE | city | Madrid && Madrid | country | Spain && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""18R/36L"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && ENAIRE | city | Madrid && Madrid | country | Spain && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""18R/36L"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0 && ENAIRE | city | Madrid && Madrid | country | Spain && Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | ""18R/36L"""
"Acharya_Institute_of_Technology | established | 2000 && Acharya_Institute_of_Technology | state | Karnataka && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | established | 2000 && Acharya_Institute_of_Technology | state | Karnataka"
"Acharya_Institute_of_Technology | established | 2000 && Acharya_Institute_of_Technology | state | Karnataka && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | established | 2000 && Acharya_Institute_of_Technology | state | Karnataka"
"Acharya_Institute_of_Technology | established | 2000 && Acharya_Institute_of_Technology | state | Karnataka && Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | established | 2000 && Acharya_Institute_of_Technology | state | Karnataka"
Super_Capers | editing | Stacy_Katzman && Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore && Super_Capers | language | English_language && Super_Capers | runtime | 98.0 && Super_Capers | distributor | Roadside_Attractions
Super_Capers | editing | Stacy_Katzman && Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore && Super_Capers | language | English_language && Super_Capers | runtime | 98.0 && Super_Capers | distributor | Roadside_Attractions
Super_Capers | editing | Stacy_Katzman && Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore && Super_Capers | language | English_language && Super_Capers | runtime | 98.0 && Super_Capers | distributor | Roadside_Attractions
University_of_Burgundy | numberOfUndergraduateStudents | 16800 && University_of_Burgundy | staff | 2900 && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | numberOfDoctoralStudents | 1299 && University_of_Burgundy | campus | Dijon && University_of_Burgundy | city | Dijon
University_of_Burgundy | numberOfUndergraduateStudents | 16800 && University_of_Burgundy | staff | 2900 && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | numberOfDoctoralStudents | 1299 && University_of_Burgundy | campus | Dijon && University_of_Burgundy | city | Dijon
