Hypermarcas | location | São_Paulo && Brazil | areaTotal | 8514837.14  (square kilometres) && Hypermarcas | location | Brazil && Hypermarcas | industry | Pharmaceuticals
It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government && Ciudad_Ayala | utcOffset | −6
Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government && Ciudad_Ayala | utcOffset | −6
Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government && Ciudad_Ayala | utcOffset | −6
Ciudad_Ayala | country | Mexico && Mexico | populationDensity | 61.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time && Ciudad_Ayala | timeZone | Pacific_Standard_Time_Zone
Ciudad_Ayala | country | Mexico && Mexico | populationDensity | 61.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time && Ciudad_Ayala | timeZone | Pacific_Standard_Time_Zone
Ciudad_Ayala | country | Mexico && Mexico | populationDensity | 61.0 && Ciudad_Ayala | timeZone | Pacific_Daylight_Time && Ciudad_Ayala | timeZone | Pacific_Standard_Time_Zone
Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | sportsOffered | Tennis && Acharya_Institute_of_Technology | city | Bangalore
Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | sportsOffered | Tennis && Acharya_Institute_of_Technology | city | Bangalore
Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | sportsOffered | Tennis && Acharya_Institute_of_Technology | city | Bangalore
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Bionico | ingredient | Raisin && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Bionico | ingredient | Raisin && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Bionico | ingredient | Raisin && Bionico | country | Mexico
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | birthPlace | German_Empire
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | birthPlace | German_Empire
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | deathPlace | Israel && Liselotte_Grschebina | nationality | Israel && Liselotte_Grschebina | birthPlace | German_Empire
GMA_New_Media | industry | Mass_Media && GMA_New_Media | product | Online_Game && GMA_New_Media | industry | Entertainment && GMA_New_Media | product | World_Wide_Web
GMA_New_Media | industry | Mass_Media && GMA_New_Media | product | Online_Game && GMA_New_Media | industry | Entertainment && GMA_New_Media | product | World_Wide_Web
GMA_New_Media | industry | Mass_Media && GMA_New_Media | product | Online_Game && GMA_New_Media | industry | Entertainment && GMA_New_Media | product | World_Wide_Web
"Acharya_Institute_of_Technology | president | ""B.M. Reddy""@en && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | president | ""B.M. Reddy"""
"Acharya_Institute_of_Technology | president | ""B.M. Reddy""@en && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | president | ""B.M. Reddy"""
"Acharya_Institute_of_Technology | president | ""B.M. Reddy""@en && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | president | ""B.M. Reddy"""
McVeagh_of_the_South_Seas | director | Cyril_Bruce && McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | starring | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | writer | Harry_Carey_(actor_born_1878)
McVeagh_of_the_South_Seas | director | Cyril_Bruce && McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | starring | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | writer | Harry_Carey_(actor_born_1878)
McVeagh_of_the_South_Seas | director | Cyril_Bruce && McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | starring | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | writer | Harry_Carey_(actor_born_1878)
Super_Capers | starring | Justin_Whalin && Justin_Whalin | birthPlace | San_Francisco && Super_Capers | starring | Michael_Rooker && Michael_Rooker | birthDate | 1955-04-06
Super_Capers | starring | Justin_Whalin && Justin_Whalin | birthPlace | San_Francisco && Super_Capers | starring | Michael_Rooker && Michael_Rooker | birthDate | 1955-04-06
Super_Capers | starring | Justin_Whalin && Justin_Whalin | birthPlace | San_Francisco && Super_Capers | starring | Michael_Rooker && Michael_Rooker | birthDate | 1955-04-06
"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property && 11th_Mississippi_Infantry_Monument | country | ""United States"""
"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property && 11th_Mississippi_Infantry_Monument | country | ""United States"""
"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property && 11th_Mississippi_Infantry_Monument | country | ""United States"""
Super_Capers | starring | Adam_West && Super_Capers | budget | 2000000.0 && Super_Capers | writer | Ray_Griggs_(director) && Super_Capers | director | Ray_Griggs_(director)
Super_Capers | starring | Adam_West && Super_Capers | budget | 2000000.0 && Super_Capers | writer | Ray_Griggs_(director) && Super_Capers | director | Ray_Griggs_(director)
Super_Capers | starring | Adam_West && Super_Capers | budget | 2000000.0 && Super_Capers | writer | Ray_Griggs_(director) && Super_Capers | director | Ray_Griggs_(director)
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | cylinderCount | 12 && ALCO_RS-3 | builder | Montreal_Locomotive_Works && ALCO_RS-3 | length | 17068.8 (millimetres)"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | cylinderCount | 12 && ALCO_RS-3 | builder | Montreal_Locomotive_Works && ALCO_RS-3 | length | 17068.8 (millimetres)"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | cylinderCount | 12 && ALCO_RS-3 | builder | Montreal_Locomotive_Works && ALCO_RS-3 | length | 17068.8 (millimetres)"
"Pontiac_Rageous | assembly | Detroit && Detroit | isPartOf | Wayne_County,_Michigan && Detroit | isPartOf | Michigan && Pontiac_Rageous | manufacturer | Pontiac"
"Pontiac_Rageous | assembly | Detroit && Detroit | isPartOf | Wayne_County,_Michigan && Detroit | isPartOf | Michigan && Pontiac_Rageous | manufacturer | Pontiac"
"Pontiac_Rageous | assembly | Detroit && Detroit | isPartOf | Wayne_County,_Michigan && Detroit | isPartOf | Michigan && Pontiac_Rageous | manufacturer | Pontiac"
"Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Jamie_Lawrence | club | Ashford_Town_(Middlesex)_F.C. && Death_on_a_Factory_Farm | broadcastedBy | HBO && HBO | timeshiftChannel | HBO East, HBO West"
"Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Jamie_Lawrence | club | Ashford_Town_(Middlesex)_F.C. && Death_on_a_Factory_Farm | broadcastedBy | HBO && HBO | timeshiftChannel | HBO East, HBO West"
"Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Jamie_Lawrence | club | Ashford_Town_(Middlesex)_F.C. && Death_on_a_Factory_Farm | broadcastedBy | HBO && HBO | timeshiftChannel | HBO East, HBO West"
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | editor | Geof_Bartz && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | editor | Geof_Bartz && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | editor | Geof_Bartz && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0
Pontiac_Rageous | manufacturer | Pontiac && Pontiac | parentCompany | General_Motors && Pontiac_Rageous | assembly | Michigan && Pontiac_Rageous | assembly | Detroit
Pontiac_Rageous | manufacturer | Pontiac && Pontiac | parentCompany | General_Motors && Pontiac_Rageous | assembly | Michigan && Pontiac_Rageous | assembly | Detroit
Pontiac_Rageous | manufacturer | Pontiac && Pontiac | parentCompany | General_Motors && Pontiac_Rageous | assembly | Michigan && Pontiac_Rageous | assembly | Detroit
"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland && 11th_Mississippi_Infantry_Monument | category | Contributing_property"
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF && Bedford_Aerodrome | elevationAboveTheSeaLevel | 83.2104
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF && Bedford_Aerodrome | elevationAboveTheSeaLevel | 83.2104
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF && Bedford_Aerodrome | elevationAboveTheSeaLevel | 83.2104
"Bedford_Aerodrome | location | Thurleigh && Thurleigh | areaCode | 01234 && Bedford_Aerodrome | runwayName | ""08/26"" && Bedford_Aerodrome | runwaySurfaceType | Concrete"
"Bedford_Aerodrome | location | Thurleigh && Thurleigh | areaCode | 01234 && Bedford_Aerodrome | runwayName | ""08/26"" && Bedford_Aerodrome | runwaySurfaceType | Concrete"
"Bedford_Aerodrome | location | Thurleigh && Thurleigh | areaCode | 01234 && Bedford_Aerodrome | runwayName | ""08/26"" && Bedford_Aerodrome | runwaySurfaceType | Concrete"
Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Virginia && Alan_B._Miller_Hall | owner | College_of_William_&_Mary
Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Virginia && Alan_B._Miller_Hall | owner | College_of_William_&_Mary
Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Virginia && Alan_B._Miller_Hall | owner | College_of_William_&_Mary
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Dessert | dishVariation | Cookie && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Dessert | dishVariation | Cookie && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Dessert | dishVariation | Cookie && Bionico | country | Mexico
Acharya_Institute_of_Technology | established | 2000 && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | established | 2000
Acharya_Institute_of_Technology | established | 2000 && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | established | 2000
Acharya_Institute_of_Technology | established | 2000 && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | established | 2000
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | producer | Sarah_Teale && Death_on_a_Factory_Farm | director | Sarah_Teale
