SR_number,source,source_location,target,target_location,kinship_phrase,Notes
33733,Phoebe,speaker,unnamed,None,my mom,
33908,Ben,prev speaker,Ross,next speaker and prev prev speaker,his daddy,
33958,Ben,next speaker,unnamed,None,your daddy,
33963,Ben,speaker,unnamed,None,my daddy,
34010,Ross,speaker,unnamed,None,my son,
34054,Ben,next speaker and prev speaker,unnamed,None,your dad,
34054,Rachel,next speaker and prev speaker,unnamed,None,your dad,
34198,Ross,speaker,unnamed,None,my son,
34572,Joey,speaker,unnamed,None,my parents,
34644,Joey,speaker,unnamed,None,my parents,
34689,Phoebe,speaker,unnamed,None,my mother,
34961,Ross,speaker,Cassie,next speaker,your cousin,"Ross talking to himself, so ""your cousin"" refers to his cousin."
35039,Joey,speaker,unnamed,None,my parents,
35046,Monica,speaker,unnamed,None,my parents,
35132,Ross,speaker,unnamed,None,my sister,
35135,Joey,next speaker and prev speaker,unnamed,None,your parents,
35140,Joey,speaker,unnamed,None,my mom,
35180,Joey,speaker,unnamed,None,neice,
35214,Joey,prev speaker and next speaker,unnamed,None,your mom,
35215,Joey,speaker,unnamed,None,my parents,
35488,Monica,speaker,Ross,next speaker,my brother,
35517,Chandler,NE in utterance and next speaker,unnamed,None,your dad,
35519,Chandler,NE in utterance and prev speaker and next speaker,unnamed,None,your father,
35563,Chandler,prev speaker and next speaker,unnamed,None,your dad,
35567,Chandler,prev speaker and next speaker,unnamed,None,your dad,
35573,Chandler,prev speaker and next speaker and NE in utterance,Unnamed,None,your father,
