extracted_triple	utterance-1	utterance	utterance+1
('Rachel', 'has-sister', 'Phoebe')	['Phoebe', ' Okay then.']	['Rachel', ' Oh my God! I can not believe that! I mean I don’t really like it when Ross goes out with anyone, but my sister isn’t that like incest or something?! Oh my God, and they’re gonna have sex! Oh! Oh no what if he marries her too?! Oh this is just terrible, this is just terrible. And I can’t stop it! I can’t—I don’t own Ross! Y’know? And Jill, she should be able to do whatever it is that she wants to do! And oh my God, I can’t believe Ross is marrying my little sister, this terrible. Oh my God, this is just the worst thing that could have ever happened to me.']	['Phoebe', ' But great news about the apartment pants, huh?']
('Joey', 'has-sister', 'Rachel')	['Rachel', ' Oh Joey, I’m hardly a…']	['Joey', ' My little sister Dina!']	['Rachel', ' Right! Hi Dina! ']
('ROSS', 'has-sister', 'MNCA')	['FBOB', " Hey. Whoa, hey, you've been working out, huh?"]	['ROSS', " Not at all! I love this guy. Hey, I was so psyched to hear you're back with my sister!"]	['MNCA', ' You and me both.']
('Phoebe', 'has-sister', 'Malcom')	['Malcom', " I'm sorry. I'm sorry. I tried to stop, but I couldn't. I'm so pathetic."]	['Phoebe', " No, no, it's not your fault. You know it's partly my fault, 'cause I made you quit cold turkey. Sorry, no. Okay, well, I mean, I can't date you anymore, 'cause your, you know Wow! But um, but I will definitely, definitely help you get over my sister. Okay, stalk me for a while. Huh? Yeah, and, and, and, I'll be like an Ursula patch."]	['Malcom', " Uh-huh, I don't know."]
('Phoebe', 'has-sister', 'Rachel')	['Rachel', ' There you go!']	['Phoebe', ' I did it! One mile on a hippity-hop! That’s it!! That’s everything I wanted to do before I was thirty. Oh, except I wanted to patch things up with my sister. But oh well. Yay!! And-and girls this thing is a Godsend if you know what I mean.']	['Rachel', ' Thirty. Ugh, I mean thirty! Monica, do you remember mean, old Mrs. Kreeger in the fifth grade? She was thirty!']
('Frank', 'has-sister', 'Phoebe')	['Phoebe', ' Right, okay, um-mm.']	['Frank', " Yeah, y'know I feel like I can really talk to you ‘cause y'know you’re my sister, y'know."]	['Phoebe', ' Yeah, I guess I do, yeah.']
('Eric', 'has-sister', 'Chandler')	['Eric', ' Oh, yeah, during the summer, I spend most weekends at my sister’s beach house, which you are welcome to use by the way. Although, I should probably tell you, she’s a porn star.']	['Chandler', ' Well, listen I ah, still have one more person to ah meet, but unless it turns out to be your sister, I think you’re chances are pretty good. All right.']	['Chandler', ' Bedroom. Bathroom. Living room. This right here is the kitchen, and thanks for coming by, Bye-bye.']
('Joey', 'has-sister', 'Ross')	['Chandler', ' Why can’t we talk in here? With, with, witnesses.']	['Joey', ' I just got off the phone with my sister.']	['Ross', ' Ah, which, which one?']
('Joey', 'has-sister', 'Chandler')	['Chandler', ' Yuck!']	['Joey', ' I can’t believe Ross went out with Rachel’s sister! When Chandler made out with my sister I was mad at him for 10 years.']	['Chandler', ' That was like 5 years ago.']
('Richard', 'has-sister', 'Monica')	['Monica', ' Sounds smart and healthy to me. So um, just out of curiosity, um, do you currently have any other racquetball buddies?']	['Richard', ' Just your dad. Although that’s actually racquetball. You know I-I do have a blind date with my sister’s neighbour next Tuesday.']	['Monica', ' Oh.']
('Rachel', 'has-sister', 'All')	['Chandler', ' Nope, hymn 253, His Eyes Are On The Sparrow! When my parents got divorced is when I started using humour as a defence mechanism.']	['Rachel', ' Hi! Uhh, do you guys have plans for the weekend? Because I have my sister on hold, and she said that we could use her cabin for the weekend and go skiing. Huh? I’m asking you first, right?!. I mean I’m playing by the rules.']	['All', ' Absolutely, yeah!']
('Ross', 'has-sister', 'Emily')	['Emily', ' She said, "If I’m not gonna be happy getting married somewhere that we find in a day, well then we should just postpone it."']	['Ross', ' Postpone it? Emily, do you think Monica realises how much our parents spent on this wedding? Do you my sister’s teeny-tiny little brain comprehends that people took time out of their lives to fly thousands of miles to be here, huh? This isn’t right.']	['Emily', ' I realize that people are going to be disappointed. But, I’m sure they’ll come back when we can do it right.']
('Ross', 'has-sister', 'Dr. Leedbetter')	['Dr. Leedbetter', ' A sandwich?']	['Ross', ' Yeah. You see my-my sister makes these amazing turkey sandwiches. Her secret is, she puts a, an extra slice of gravy soaked bread in the middle; I call it the Moist Maker. Anyway, I-I put my sandwich in the fridge over here… ']	['Dr. Leedbetter', ' Oh, you know what?']
('Ross', 'has-sister', 'Monica')	['The Professor', ' Do you have a moment to talk about your lecture?']	['Ross', ' I’m sorry, I’ve got plans with my sister.']	['Monica', ' Monica Gellerrr.']
('Danny', 'has-sister', 'Rachel')	['Danny', " I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch."]	['Rachel', " You're sister? You're sister's asleep on the couch? Ohhh! I saw her with you on the subway and now she's asleep on the couch!"]	['Danny', " Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel."]
('Ross', 'has-sister', 'Chandler')	['Chandler', ' Ross!']	['Ross', ' Hiiii-Ya!! I’m serious! You’re not walking out on my sister!']	['Chandler', ' That’s right! I’m not!']
('Ross', 'has-sister', 'Rachel')	['Monica', " I'm so sorry that you had to find out this way. I'm sorry, but it's true, I love him too."]	['Ross', ' My best friend and my sister! I cannot believe this. You guys probably wanna get some hugs in too, huh? Big news!']	['Rachel', " Awww, no, it's okay, we've actually known for a while."]
('Phoebe', 'has-sister', 'Chandler')	['Joey', ' Hey! It’s Porsche!!']	['Phoebe', ' Me taking care of you is no problem, huh? You guys feel safe. Right? Okay, I’m gonna take that spit bubble as, "Yeah, I do!" Okay, after I get rid of this dirty diaper Leslie, I’ll set you up with a clean one. Okay, I’m sorry. I didn’t mean to scare you. I just have to clean that up. Okay? ‘Cause let’s face it, we’re at Monica’s. I broke it. All right. Well, that’s just the way that goes. Okay, good. Why are there only two of you? Where is Leslie? Well, you can’t answer. Leslie? Where are you Leslie? Leslie, now would be a good time for your first words! Well, look at you! Hey! You are a little bit mischievous! My gosh! Oh, you’re a lot mischievous! Well, it’ll dry. Okay, you sit with your brother and sister now—who aren’t there!']	['Chandler', ' Hey!']
('Ross', 'has-sister', 'Janine')	['Joey', ' Ye-ye, we go to yours!']	['Ross', ' Yeah, see, we-we-we have to stop across the hall, because it’s my sister. But, uh, uh y’know actually, growing up with a sister was nice because it really helped me understand women. Yeah, you-you should tell your friends that.']	['Janine', ' Okay.']
('Rachel', 'has-sister', 'Joey')	['Rachel', ' Ross is on a date with my sister and they shut the drapes two and a-half-hours ago.']	['Joey', ' Whoa, I didn’t know we could date your sister!']	['Monica', ' Joey we know you steal our food.']
('Rachel', 'has-sister', 'Ross')	['Ross', ' He is my girlfriend’s father, okay? It’s-it’s, it’s weird!']	['Rachel', ' Wh—You dated my sister!']	['Ross', ' That was different!']
('Rachel', 'has-sister', 'Jill')	['Jill', ' Why?!']	['Rachel', ' Because you are my sister and Ross and I have this huge history…']	['Jill', ' I don’t understand, do you want to go out with Ross?']
('Joey', 'has-sister', 'Joey')	['Chandler', '  Oh, ok.']	['Joey', ' There\'s my scene, there\'s my scene. [Joey on tv] "Mrs. Wallace, I\'m Dr. Drake Ramoray, your sister\'s neurosurgeon.  I\'m afraid the situation is much worse than we expected. Your sister is suffering from a..."']	['Joey', " Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear. "]
('Tag', 'has-sister', 'Rachel')	['Rachel', ' Oh how can you possibly know? Look at this mess, Tag! I mean, this is what I’m talking about! You have to be organized! You’ve got newspapers! You’ve got magazines! You got—Ohh! And who is this chippy? A little young for you Tag, but whatever.']	['Tag', ' It’s my sister.']	['Rachel', ' Okay, very cute braces. Anyway y’know what, the point is Tag, start looking because you are going to find those contracts on your desk.']
('Ross', 'has-sister', 'All')	['Mr. Geller', ' Doctor Ross Geller.']	['Ross', ' Dad…dad, please! As I was saying umm, I’m Dr. Ross Geller. Uhh, and I’m the best man. And uh, this marriage is doubly special for me umm, because not only is the groom my best friend but uh, the bride is my little sister. And, she’s the greatest sister a guy could ask for. So if you’d all please join me in raising a glass to the, the couple we’re here to celebrate. To the Bings.']	['All', ' To the Bings!']
('Ursula', 'has-sister', 'Phoebe')	['Phoebe', ' Really?']	['Ursula', ' Sure! Why not? You could be my sister for the day.']	['Phoebe', ' Yeah. Okay. Umm, y’know, my friends are having a Halloween party tonight at my old apartment so, you could come. Maybe I could meet the guy you’re marrying.']
('Eric', 'has-sister', 'Phoebe')	['Phoebe', ' Ursula’s fianc�e?']	['Eric', ' Oh my God, you’re the sister!']	['Phoebe', ' Yeah.']
('Phoebe', 'has-sister', 'Eric')	['Eric', ' Anyway, I was wondering if, you were the sort of person who…eats lunch.']	['Phoebe', ' Are you asking me out? ‘Cause it would be kinda weird since you just broke up with my sister.']	['Eric', ' Yeah uh…okay. I’m-I’m sorry. Bye.']
('Joey', 'has-sister', 'Dina')	['Dina', ' Look, Rachel’s told me how much easier you’ve made all this on her. Why can’t you do that for me?']	['Joey', ' Because! ‘Cause… ‘Cause you’re my baby sister!']	['Dina', ' And you’re my big brother! I mean, you’re my favorite guy in the whole world. I’m not even scared to tell mom and dad. I was scared of telling you.']
('Rachel', 'has-sisters', 'Ben')	['Ben', ' Sharing is good.']	['Rachel', ' Oh, you’re one of those. But y’know what? I have two sisters of my own and we just-just tortured each other.']	['Ben', ' Really? Like how?']
('Joey', 'has-sisters', 'Rachel')	['Rachel', ' Joey. Joey, something feels weird and not good weird. I don’t—Whoa!!']	['Joey', ' Oh hey whoa-whoa, don’t worry. Okay. When my sisters were pregnant they got every weird feeling in the book, it was always nothing.']	['Rachel', ' Really?']
('Chandler', 'has-cousin', 'Ross')	['Ross', ' Why? ']	['Chandler', " I need you to come to this bachelor party for my weird cousin Albert, y'know he's the botanist. "]	['Ross', " Oh God. Y'know, botanists are such geeks. "]
('Monica', 'has-cousin', 'Chandler')	['Monica', ' Hi! If you’re calling before Saturday, you’ve reached Monica and Chandler. But if you’re calling after Saturday, you’ve reached Mr. and Mrs. Bing! Please leave a message for the Bings!']	['Monica', ' Hey Maureen! Gosh! Hey uh, Chandler? This is my cousin Maureen.']	['Chandler', ' We’re the Bings.']
('Chandler', 'has-cousin', 'Phoebe')	['Ross', ' Y’know, she tried to undress me too.']	['Chandler', ' I used to undress my cousin Glenn.']	['Phoebe', ' Joseph Francis Tribbiani are you home yet?!!']
('Monica', 'has-cousin', 'Ross')	['Ross', ' Bec—Did you not hear me?! She’s an assistant professor in the Linguistics department, okay? They’re wild! Why do you want to come anyway?']	['Monica', ' Because! She’s my cousin. I mean, we grew up together! We’re family y’know? Well that’s important to me.']	['Ross', ' Okay, all right, I’ll take you. I’ll go call Joan.']
('Chandler', 'has-mother', 'Ross')	['Monica', " And they weren't looking at you before?!"]	['Chandler', " Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"]	['Ross', ' Hi.']
('Phoebe', 'has-mother', 'Chandler')	['Phoebe', ' Yeah me too.']	['Phoebe', ' Oh y’know what’s sadder than this? Bambi. I cried for three days with that movie. No wait two! Because on the third day my mother killed herself so I was partly crying for that.']	['Chandler', ' Well see now that I can see crying over, but Bambi is a cartoon!']
('Joey', 'has-mother', 'Ross')	['Rachel', ' Okay. I am so hot!']	['Joey', " Now, here's a picture of my mother and father on their wedding day. Now you tell me she's not a knockout."]	['Ross', " I cannot believe we're having this conversation."]
('Mr. Geller', 'has-mother', 'Mr. Geller')	['Ross', ' Thanks, Dad, really, I ju... you know, I just, I just needed to know, um... when did you start to feel like a father?']	['Mr. Geller', " Oh, well, I, I guess it musta been the day after you were born. We were in the hospital room, your mother was asleep, and they brought you in and gave you to me. You were this ugly little red thing, and all of a sudden you grabbed my finger with your whole fist. And you squeezed it, so tight. And that's when I knew."]	['Mr. Geller', " So you don't wanna go to Williamsburg?"]
('Rachel', 'has-mother', 'Monica')	['Phoebe', ' For how long?']	['Rachel', ' Eight weeks. I mean I love my mother, but my God, a long lunch with her is taxing.']	['Monica', ' I personally would be honored if she wanted to live with me.']
('Monica', 'has-mother', 'Chandler')	['Rachel', ' Nooo...']	['Monica', " This is so unfair! She's got everything I want, and she doesn't have my mother."]	['Chandler', ' How about Joey... Pepponi?']
('Phoebe', 'has-mother', 'Monica')	['Monica', ' You gotta help me out here Pheebs.']	['Phoebe', ' All right, I’ve never been engaged and I’ve never really been married, but I can only tell you what my mother told me. Whenever you have doubts or fears or anxieties about a relationship, do not communicate them to your husband.']	['Monica', ' So I’m not supposed to share my doubts and fears with the guy I’m gonna spend the rest of my life with?']
('Phoebe', 'has-mother', 'Carol')	['Ross', ' You wanna explain that?']	['Phoebe', " I mean, well, 'cause when I was growing up, you know my dad left, and my mother died, and my stepfather went to jail, so I barely had enough pieces of parents to make one whole one. And here's this little baby who has like three whole parents who care about it so much that they're fighting over who gets to love it the most. And it's not even born yet. It's just, it's just the luckiest baby in the whole world. I'm sorry, you were fighting."]	['Carol', ' Where are they?']
('Ross', 'has-son', 'All')	['Monica', ' Oh, but it’s made her so happy.']	['Ross', " Little girl misses her cat. Crazy lady thinks her mother is in a cat. Okay, y'know what, I have to go have dinner with my son, can I trust that when you see Phoebe, you will tell her."]	['All', ' Yeah.']
('Ross', 'has-mother', 'Phoebe')	['Phoebe', ' I think she would like that.']	['Ross', ' Come here, here, come here, come here, Mrs. Buffay. Sorry, about what I said, umm, it was, it was insensitive of me to say that you were just a cat. When clearly you are also the reincarnated spirit, of my friend’s mother.']	['Phoebe', ' Thank you. We both forgive you.']
('Paul', 'has-mother', 'Rachel')	['Rachel', ' I don’t care about the little dude! I can’t! I cannot listen to anymore of this! Y’know, the only person who would want to listen to this is a mental health professional! And then it’s only because they get paid $100 an hour! Do you know how much money I could’ve made listening to you? $2,000! And do you know when I figured that out? While you were talking!']	['Paul', ' What?! I can’t believe you’re trying to stifle me! When just 14 hours ago we figured out that that is exactly what my mother was trying to do to me!']	['Rachel', ' Oh… I’m sorry. I… I-I don’t mean—I didn’t mean to stifle you. I… This is all just a little overwhelming.']
('Chandler', 'has-father', 'Rachel')	['Monica', ' I can’t believe this. Do you think that your parents could help pay for it?']	['Chandler', ' I don’t know, my mother spent most of her money on her fourth wedding. She’s saving the rest for her divorce. And any extra cash my father has he saves for his yearly trips to Dollywood.']	['Rachel', ' Well what happened at dinner?']
('Rachel', 'has-mother', 'Joey')	['Joey', ' Yes! Yes! You did and you’re still yelling at me!']	['Rachel', ' No! No! No! I’m not yelling at you, I’m just yelling near you. Oh God Joey, ohh I’m my father. Oh my God, this is horrible! I’ve been trying so hard not to be my mother I did not see this comin’. Oh, Joey, I’m sorry. I’m so sorry. I just wanted you to learn.']	['Joey', ' Well, hey I did learn.']
('Phoebe', 'has-mother', 'Earl')	['Earl', ' It doesn’t really seem like enough to be fate.']	['Phoebe', ' Oh. Well umm, okay here’s a weird thing. My mother was also a supply manager.']	['Earl', ' I’m actually the office manager.']
('Mr. Geller', 'has-mother', 'Monica')	['Ross', ' What?!!!']	['Mr. Geller', ' I’ve been thinking about getting rid of it. I was driving it the other day and saw my reflection in a store window. Your mother’s right, I do look like an ass.']	['Monica', ' Wait, you’re giving me your Porsche, you’re kidding me right?!']
('Chandler', 'has-mother', 'Dennis Phillips')	['Mrs. Bing', ' Dennis is a dear old friend and a fantastic lover.']	['Chandler', ' Bravo Dennis thanks for pleasing my mother so.']	['Dennis Phillips', ' Oh, I’m so sorry I missed the ceremony, I was stuck at auditions.']
('Rachel', 'has-mother', 'Ross')	['Ross', ' You-you just said that you did!']	['Rachel', ' I know, I lied! I didn’t want her to think I was a terrible mother! I can’t even see my own baby!']	['Ross', ' Oh sure, come here! Sure you can! Uh, look come here look, it’s-it’s-it’s, it’s right there.']
("Mrs. Verhoeven's Daughter", 'has-mother', 'Ross')	['Ross', ' What?']	["Mrs. Verhoeven's Daughter", ' My mother’s still alive.']	['Ross', ' Oh, thank God!']
('Doug', 'has-mother', 'Chandler')	['Chandler', ' Oh uh, as it turns out, we can’t do it. Monica has to work.']	['Doug', ' Oh, my ex-wife didn’t work, unless you call turning into her mother\r\r work. Fine. Tomorrow night then.']	['Chandler', ' Oh uh well tomorrow’s no good for her either.']
('Monica', 'has-mother', 'Rachel')	['Rachel', ' What?! You mean they’re not coming to a social event where there’s no men and there’s no booze?! That’s shocking! I don’t care, as long as my mom’s here.']	['Monica', ' Oh my God, your mother!']	['Rachel', ' What?! My mom’s not gonna be here?!']
('Rachel', 'has-mother', 'Phoebe')	['Monica', ' Oh give it a rest!']	['Rachel', ' So my mother is not coming to my baby shower?!']	['Phoebe', ' No. Neither is mine.']
('Rachel', 'has-father', 'Rachel')	['Monica', ' And who pays for that? ']	['Rachel', ' Um... my... father. ']	['Rachel', ' Oh God, come on you guys, is this really necessary?  I mean, I can stop charging anytime I want. ']
('Rachel', 'has-father', 'Ross')	['Mona', ' Oh good, you’re here. Yeah, and I was worried that it was going to be uncomfortable.']	['Rachel', ' I know Mona, just hear me out. First of all, I’m so sorry about my father yelling at you, but I heard you totally held your own. You’re gonna have to tell me how you did that.']	['Ross', ' Focus.']
('Chandler', 'has-father', 'Monica')	['Rachel', " Yeah, well, it's a Mercedes if I move back home. Oh, it was horrible. He called me young lady."]	['Chandler', ' Ooh, I hate when my father calls me that.']	['Monica', ' Did he give you that whole "You\'re-not-up-to-this" thing again?']
('Rachel', 'has-father', 'Monica')	['Ross', " Yeah, uh, except for the red sock, which is still red. I'm sorry, please don't be upset, it could happen to anyone."]	['Rachel', " Except it didn't. It happened to me. Oh, god, I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!"]	['Monica', " Something went wrong with Underdog, and they couldn't get his head to inflate. So anyway, um, his head is like flopping down Broadway, right, and I'm just thinking... how inappropriate this is. Um, I've got something in my eye, uh, Joey, could we check it in the light, please? "]
('Rachel', 'has-father', 'Terry')	['Terry', ' An advance?']	['Rachel', " It's so that I can spend Thanksgiving with my family. See, every year we go skiing in Vail, and normally my father pays for my ticket, but I sort of started the whole independence thing, you know, which is actually why I took this job."]	['Terry', " Rachel, Rachel, sweetheart. You're a terrible, terrible waitress. Really, really awful."]
('Mrs. Tribbiani', 'has-father', 'Joey')	['Joey', ' Hold on, you-you knew?']	['Mrs. Tribbiani', ' Of course I knew! What did you think? Your father is no James Bond. You should\'ve heard some of his cover stories. "I\'m sleeping over at my accountant\'s," I mean, what is that? Please!']	['Joey', ' So then how could you I mean, how could you?!']
('Ross', 'has-father', 'Mr. Geller')	['Mr. Geller', " I'm not freaking out, I'm just saying, if somebody had come to me with the idea andndash;"]	['Ross', ' Dad, dad, dad, I\'m talkin\' about the whole uh, baby thing. Did you uh, ever get this sort of... panicky, "Oh my god I\'m gonna be a father" kind of a thing?']	['Mr. Geller', " No. Your mother really did the work. I was busy with the business. I wasn't around that much. Is that what this is about?"]
('Joey', 'has-father', 'Lydia')	['Lydia', " She's not much of a phone person."]	['Joey', " Yeah, so, uh, so, uh, what's the deal with this father guy, I mean, if someone was havin' my baby somewhere, I'd wanna know about it, you know?"]	['Lydia', ' Hey, Knick fan, am I interested in your views on fatherhood? Uh, no. ']
('Chandler', 'has-father', 'Kathy')	['Kathy', " Not your type?! She's gorgeous!"]	['Chandler', " Y'know what I think it is? It's the fishnet stockings. Y'know? Whenever I see a girl in fishnet stockings it reminds me of my father in fishnet stockings."]	['Kathy', " Okay. Understanding a little more why you're single. Ohh! Y'know, I have a friend you would like, she's really pretty. And then we could double date!"]
('Frank Sr.', 'has-father', 'Phoebe')	['Phoebe', " Y'know what, it doesn’t matter what you say it's not gonna make a difference anyway, so you can just go."]	['Frank Sr.', " All right. Well, y'know in my defense I was a lousy father."]	['Phoebe', " That's a defense?"]
('Ross', 'has-son', 'Monica')	['Monica', ' Is he really coming? Because I can see right into your apartment!']	['Ross', ' Of course he is! What, do you think I’d just use my son as-as an excuse? What kind of father do you think I am?']	['Monica', ' All right, sorry.']
('Elizabeth', 'has-father', 'Ross')	['Wayne', ' It can do this.']	['Elizabeth', ' This is my father, Paul Stevens. Dad, this is Ross Geller.']	['Ross', ' It-it’s great to meet you Paul.']
('Ross', 'has-father', 'Rachel')	['Rachel', ' Ross, what’s the big deal? So I kissed the guy!']	['Ross', ' He is my girlfriend’s father, okay? It’s-it’s, it’s weird!']	['Rachel', ' Wh—You dated my sister!']
('Monica', 'has-father', 'Chandler')	['Chandler', ' I know.']	['Monica', ' You gave my father a lap dance!']	['Chandler', ' Why do they put so much steam in there?!']
('Rachel', 'has-father', 'Joey')	['Ross', ' You have to respect the sea!']	['Rachel', ' Look Joey, I’m sorry if-if you thought that was mean, but I gotta tell ya something. That was not mean. Okay, my father is mean. He used to yell at me all the time on the boat, I mean it was horrible. I was just being a good teacher.']	['Joey', ' Does a good teacher say, "Put down the beer pinhead!?"']
('Phoebe', 'has-father', 'Chandler')	['Monica', ' Phoebe, come on, you have to tell us.']	['Phoebe', ' Okay, okay. It’s James Brolin. James Brolin is the father of my baby.']	['Chandler', ' As in Barbara Streisand’s husband James Brolin?']
('Phoebe', 'has-father', 'Monica')	['Joey', ' The guy left this.']	['Phoebe', ' Oh my God! I know who the father is…']	['Monica', ' People have got to finish their stories!']
('Rachel', 'has-child', 'Ross')	['Ross', ' Oh uh, I’m sorry.']	['Rachel', ' No Ross! Ross! Ross! My child has no father!']	['Ross', ' Hi! I’m so glad you’re here, but it’s gonna be a while. I-I wished you’d called first.']
('Janice', 'has-father', 'Rachel')	['Rachel', ' Well I—That’s never gonna happen with Ross.']	['Janice', ' Oh well that’s what I thought about my first husband, now I’m lucky if my kid gets to spend the weekend with her father and the twins and little Ms. New Boobs.']	['Rachel', ' Really?']
('Phoebe', 'has-mom', 'Ross')	['Rachel', ' Oh my god!!']	['Phoebe', " No, no, no. It's not! It's not my mom. It belonged to mom. Yeah, no, she used to put it out every Christmas to remind us, that even though it's Christmas, people still die. And, you can put candy in it."]	['Ross', ' Hey!']
('Phoebe', 'has-mom', 'Rachel')	['Rachel', ' You just said it!']	['Phoebe', ' Oh. Okay, well I-I was kinda hoping that I would just…be alone y’know to think about my mom and her suicide.']	['Rachel', ' Oh Phoebe!']
('Joey', 'has-mom', 'Monica')	['Monica', ' Bye.']	['Joey', ' Have you kissed her yet? It’s awesome! I could do it forever! Y’know what? She-she kisses better than my mom cooks!']	['Monica', ' I am so glad you said cooks.']
