extracted_triple	utterance-1	utterance	utterance+1
('Ross', 'has-sister', 'Chandler')	['Chandler', " Yes, and we'd appreciate it if no one told him yet."]	['Ross', ' Chandler!!! Chandler!!! Chandler, I saw what you were doing through the window! Chandler, I saw what you were doing to my sister! Now get out here!']	['Chandler', " Wow! Listen, we had a good run. What was it? Four? Five months? I mean, that's more than most people have in a lifetime! So, good-bye, take care, bye-bye then!"]
('Phoebe', 'has-sister', 'Monica')	['Joey', ' Hey! It’s Porsche!!']	['Phoebe', ' Me taking care of you is no problem, huh? You guys feel safe. Right? Okay, I’m gonna take that spit bubble as, "Yeah, I do!" Okay, after I get rid of this dirty diaper Leslie, I’ll set you up with a clean one. Okay, I’m sorry. I didn’t mean to scare you. I just have to clean that up. Okay? ‘Cause let’s face it, we’re at Monica’s. I broke it. All right. Well, that’s just the way that goes. Okay, good. Why are there only two of you? Where is Leslie? Well, you can’t answer. Leslie? Where are you Leslie? Leslie, now would be a good time for your first words! Well, look at you! Hey! You are a little bit mischievous! My gosh! Oh, you’re a lot mischievous! Well, it’ll dry. Okay, you sit with your brother and sister now—who aren’t there!']	['Chandler', ' Hey!']
('Rachel', 'has-sister', 'Ross')	['Jill', ' Why?!']	['Rachel', ' Because you are my sister and Ross and I have this huge history…']	['Jill', ' I don’t understand, do you want to go out with Ross?']
('Joey', 'has-sister', 'Joey')	['Chandler', '  Oh, ok.']	['Joey', ' There\'s my scene, there\'s my scene. [Joey on tv] "Mrs. Wallace, I\'m Dr. Drake Ramoray, your sister\'s neurosurgeon.  I\'m afraid the situation is much worse than we expected. Your sister is suffering from a..."']	['Joey', " Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear. "]
('Ross', 'has-sister', 'Ross')	['Mr. Geller', ' Doctor Ross Geller.']	['Ross', ' Dad…dad, please! As I was saying umm, I’m Dr. Ross Geller. Uhh, and I’m the best man. And uh, this marriage is doubly special for me umm, because not only is the groom my best friend but uh, the bride is my little sister. And, she’s the greatest sister a guy could ask for. So if you’d all please join me in raising a glass to the, the couple we’re here to celebrate. To the Bings.']	['All', ' To the Bings!']
('Joey', 'has-sister', 'Dina')	['Rachel', ' Oh Joey, I’m hardly a…']	['Joey', ' My little sister Dina!']	['Rachel', ' Right! Hi Dina! ']
('Monica', 'has-cousin', 'Chandler')	['Monica', ' Hi! If you’re calling before Saturday, you’ve reached Monica and Chandler. But if you’re calling after Saturday, you’ve reached Mr. and Mrs. Bing! Please leave a message for the Bings!']	['Monica', ' Hey Maureen! Gosh! Hey uh, Chandler? This is my cousin Maureen.']	['Chandler', ' We’re the Bings.']
('Phoebe', 'has-mother', 'Rachel')	['Teacher', ' Alright people, now everyone grab a partner.']	['Phoebe', " Okay. And, my, dead, mother, says, you, are, it. I'm with Rachel."]	['Monica', " Great. It's gym class all over again."]
('Ross', 'has-son', 'Phoebe')	['Monica', ' Oh, but it’s made her so happy.']	['Ross', " Little girl misses her cat. Crazy lady thinks her mother is in a cat. Okay, y'know what, I have to go have dinner with my son, can I trust that when you see Phoebe, you will tell her."]	['All', ' Yeah.']
('Rachel', 'has-mother', 'Joey')	['Joey', ' Yes! Yes! You did and you’re still yelling at me!']	['Rachel', ' No! No! No! I’m not yelling at you, I’m just yelling near you. Oh God Joey, ohh I’m my father. Oh my God, this is horrible! I’ve been trying so hard not to be my mother I did not see this comin’. Oh, Joey, I’m sorry. I’m so sorry. I just wanted you to learn.']	['Joey', ' Well, hey I did learn.']
('Rachel', 'has-father', 'Ross')	['Ross', ' So I nodded off a little.']	['Rachel', ' Nodded off!! Ross you were snoring. My father’s boat didn’t make that much noise when it hit rocks!']	['Ross', ' Come on! Forty-five minutes! Forty-five minutes the man talked about strappy backed dresses.']
('Elizabeth', 'has-father', 'Ross')	['Wayne', ' It can do this.']	['Elizabeth', ' This is my father, Paul Stevens. Dad, this is Ross Geller.']	['Ross', ' It-it’s great to meet you Paul.']
('Rachel', 'has-father', 'Joey')	['Ross', ' You have to respect the sea!']	['Rachel', ' Look Joey, I’m sorry if-if you thought that was mean, but I gotta tell ya something. That was not mean. Okay, my father is mean. He used to yell at me all the time on the boat, I mean it was horrible. I was just being a good teacher.']	['Joey', ' Does a good teacher say, "Put down the beer pinhead!?"']
('Rachel', 'has-child', 'Ross')	['Ross', ' Oh uh, I’m sorry.']	['Rachel', ' No Ross! Ross! Ross! My child has no father!']	['Ross', ' Hi! I’m so glad you’re here, but it’s gonna be a while. I-I wished you’d called first.']
('Kathy', 'has-mom', 'Chandler')	['Phoebe', ' They were threefold.']	['Kathy', ' Oh. Well uh, you not being able to talk may make this easier. Listen umm… Listen I don’t wanna be someone who comes between two best friends. I just, I can’t stand seeing what this is doing to you guys, and I don’t wanna be the cause of that. So, I don’t think we can see each other anymore. I’m gonna go to my mom’s in Chicago, I’m gonna stay there for awhile. I think this could’ve be something really amazing, but y’know this is probably for the best. Y’know? I’m gonna miss you. Good-bye, Chandler. ']	['Joey', ' Open the box!!']
('Phoebe', 'has-mom', 'Frank')	['Rachel', ' Ooh, it was only okay.']	['Phoebe', ' Ooh, I can’t do this. My mom was right. If I can’t-if I can’t give him up, then there’s no way I can give up a baby. Ohh, God, Frank and Alice are gonna be so crushed. What-what else, what else can I give ‘em—a kidney!']	['Alice', ' Hi!']
('Phoebe', 'has-mom', 'Joey')	['Monica', ' Oh man! I did it again!']	['Phoebe', ' Okay, so umm, somebody has to call Frank and Alice. And then my mom wants to know--Joey, what are you doing?!']	['Joey', ' I gotta get the before shot!']
('Phoebe', 'has-mom', 'Rachel')	['Monica', ' Well, no. But, um, I bet she probably does.']	['Phoebe', ' Probably? Yeah, I don\'t like that word. Kind of what ‘probably’ really means. Yeah, uh-huh. Yeah, oh, "Your mom probably won\'t kill herself," y’know? I\'m sorry, but I\'m not hanging all my hopes of Rachel and I living together on-on "Probably!" Y’know? You gotta take care of yourselves! In this world history teaches us nothing!']	['Chandler', " Bing doesn't seem so weird now, does it?"]
('Joey', 'has-mom', 'Chandler')	['Ross', ' Oh see, before you uh, when you showed it to me you-you held it that way which uh, which was misleading. Well I’m… Hello.']	['Joey', ' Chandler. Will you see if your mom can give my resume to Dennis Phillips? ‘Cause if I can get in a Broadway show then I would’ve done it all, film, television, and theater. The only think left would be radio, and that’s just for ugly people.']	['Chandler', ' What size shoes do you wear?']
('Joey', 'has-dad', 'Chandler')	['Ronni', " Wow. He's strict."]	['Joey', " Now dad, you'll be in my room, Ronni uh, you can stay in Chandler's room."]	['Ronni', " Thanks. You're, uh, you're a good kid."]
('Joey', 'has-dad', 'Joey')	['Ross', ' Ohh, Geller’s got one hooked! Ohh! Looks like a big one! Yeah, ohh! Ohh! It’s the classic struggle between man and— Someone knocked over a lamp.']	['Joey', ' That’s all right. Hey you guys, you know what’s going to be great about the fishing trip this year? When my dad gets me out in the middle of the lake and gives me that, "Joey, what are you doing with your life?" stuff. I can say, "Well, I’m doing a movie with Charlton Heston dad. What are you doing with your life?"']	['All', ' Great!']
('Rachel', 'has-dad', 'Ross')	['Ross', ' Hey, I can handle it! All right?']	['Rachel', ' Please, Ross, you-you got hurt playing badminton with my dad.']	['Ross', ' That’s ‘cause-‘cause you’re mom’s dog kept-kept looking at me.']
('Ross', 'has-dad', 'Monica')	['Chandler', ' This is ridiculous. ']	['Ross', " Oh, is it? Is it? Look, when Monica and I were kids, we had a dog named Rover. And, uh, one day, my dad decides, he doesn't like dogs. So Monica and her friend…Phyllis…take away the dog. And that was the last time we ever saw him. Don't you see? This is just like that. Only with a few details changed. "]	['Joey', " Okay, I'm in my sweat pants. Bring on the food! What's the matter? "]
('Ross', 'has-son', 'Ben')	['Monica', ' Kinda. Oh my God!']	['Ross', ' Hello? Hey Mon, how’s the packing going? Ben? He’s fine. Yeah, he’s right—Oh my God! Get your head of your shirt there son! What? Yeah, it’s a pumpkin. I’ll come pack.']	['Joey', ' Hey!']
('Ross', 'has-daughter', 'Rachel')	['Mr. Waltham', ' Goodbye Geller.']	['Ross', ' Now, hold on! Hold on! Look, look, your daughter and I are supposed to leave tonight for our honeymoon, now-now you-you tell her that I’m gonna be at that airport and I hope that she’ll be there too! Oh yeah, I said Rachel’s name, but it didn’t mean anything, Okay? She’s-she’s just a friend and that’s all! That’s all! Now just tell Emily that I love her and that I can’t imagine spending my life with anyone else. Please, promise me that you’ll tell her that.']	['Mr. Waltham', ' All right, I’ll tell her. Come on bugger face!']
('Paul', 'has-daughter', 'Ross')	['Ross', ' That’s funny. Umm…. It’s not funny.']	['Paul', ' I don’t like you going out with my daughter Ross.']	['Ross', ' Okay. I can, I can see that. Umm, but I think if you give me umm, one chance I can, I can change your mind.']
('Paul', 'has-daughter', 'Rachel')	['Elizabeth', ' Okay. I didn’t know he was here.']	['Paul', ' Let me just see if I got this straight. I tell you to stay away from my daughter or I’ll have you fired. What you heard was, "Take my daughter, come up to my country house, and ruin my weekend with Rachel!"']	['Ross', ' Okay, please-please Paul, just let me explain…']
('Rachel', 'has-niece', 'Rachel')	['Ross', ' That’s right good things, that-that is what I said.']	['Rachel', ' Hello, Mark? Hi, it’s Rachel Green. Oh no, don’t you apologize. Yeah, I’ll hold. He left my number at work, but he was helping his niece with her report on the pioneers.']	['Ross', ' That is so made up!']
('Joey', 'has-twin', 'Chandler')	['Joey', ' Hit me! Ohh man! Wait!']	['Joey', ' Chandler! You are not gonna believe this! I have found my identical hand twin!']	['Chandler', ' What?']
('Phoebe', 'has-aunt', 'Mary')	['Rachel', ' Phoebe, what? Umm...what?!']	['Phoebe', ' Yeah, yeah, first there was my aunt Mary, and then there was umm, John, my mailman, and then my, my cowboy friend ‘Albino Bob’.']	['Rachel', ' And all these people actually died?']
('Dina', 'has-uncle', 'Joey')	['Joey', ' Well I’d be scared of them, but all right.']	['Dina', ' Joey, I can’t stand the thought of having this baby with you mad at me. I want him to have his uncle. Is my baby gonna have his Uncle Joey?']	['Joey', ' Of course he’s gonna have his Uncle Joey!']
('Rachel', 'has-child', 'Joey')	['Ross', ' You’re moving?']	['Rachel', ' Yeah, I can’t live with Joey once the baby comes. I don’t want my child’s first words to be, "How you doin’?"']	['Ross', ' So does-does Joey know you’re moving?']
('Monica', 'has-parents', 'Ross')	['Ross', ' Monica knows.']	['Monica', " It's this dumb thing that Ross made up `cause he was trying to fool our parents. It's a way of giving the finger, without actually having to give it. I remember I cried the night you made it up, `cause it was the first time that I realized that I was actually cooler than my older brother."]	['Ross', " Well, I'm gonna go get ready, for my date tonight, so ah, I'll just_ head."]
('Chandler', 'has-parents', 'Ross')	['Phoebe', " Whoa!! He is soo unreasonable! God, although I think I understand what he means. Oh my God, this is like 60 Minutes, okay, when, when, at first you’re really mad at that pharmaceutical company for making the drug and then y'know you just feel bad for the people because they needed to make their hair grow."]	['Chandler', " Y'know what this is like? This is like when my parents got divorced. Man, I hope Ross doesn’t try to kidnap me after Cub Scouts."]	['Phoebe', " Y'know I had a dream where Ross and Rachel were still together, they never broke up. And we were all just like hanging out, and everyone was happy...."]
('Monica', 'has-parents', 'Rachel')	['Chandler', ' Sydney Portier? Hehheh.']	['Monica', ' I miss Rachel. No, my parents.']	['Chandler', ' Oh! That’s great, they haven’t seen the place since I moved in!']
('Ross', 'has-parents', 'Joey')	['Joey', ' Ross! Can I talk to you for a second?']	['Ross', ' Oh, uh, can it wait a second Joey? I have to tell my parents something. No it can’t? Okay.']	['Joey', ' Okay, look, I think we have to tell Rachel she messed up her dessert.']
('Joey', 'has-parents', 'Phoebe')	['Phoebe', ' I did, but that was really fun.']	['Joey', ' And the winner is…Joey Tribbiani! Oh… Wow! I honestly never expected this. I uh, I didn’t prepare a speech. But umm, I’d like to thank my parents, who’ve always been there for me. I’d also like to thank my friends, Chandler, Monica, Phoebe, Rachel…']	['Rachel', ' I’m fourth! Look at you with your little maple syrup award!']
('Joey', 'has-parents', 'Rachel')	['Joey', ' What the?!']	['Joey', ' Any one of the brilliant actresses nominated for this award tonight deserves to take it home. Unfortunately only one can. The nominees for Best Supporting Actress are from Passions Erin Goff. From One Life to Live Mary Loren Bishop, from All My Children Sarah Mchann, and from Days of Our Lives Jessica Ashley. And the winner is……Jessica Ashley from Days of Our Lives. Uh, unfortunately Jessica couldn’t be with us tonight so I’ll be accepting this award on her behalf. And I’m sure that Jessica would like to thank my parents who always believed in me. She’d also like to thank my friends, Chandler, Monica, Ross, Phoebe, and Rachel who’s sittin’ right there!']	['Rachel', ' Joey! Why did we have to rush out of there so fast?!']
('Phoebe', 'has-parents', 'Ben')	['The Teacher', ' Are you one of Ben’s mothers?']	['Phoebe', ' I am one of Ben’s mothers. I’m a lesbian. It was, it was difficult coming out to my parents.']	['The Teacher', ' Well hi, I’m Jenny Boone. I’m the new teacher here.']
