kinship_label	source	utterance	sr_number
father	Monica	Try feeding her again.	4621
father	Rachel	Chandler!! You have the best taste in men!	5541
father	Chandler	Well, like father, like son.	5542
father	Rachel	Patrick and I had such a great time last night! I mean I think this could maybe turn into something serious.	5543
father	Ross	Hi! I'm so glad you're here, but it's gonna be a while. I-I wished you'd called first.	5766
father	Mrs. Geller	Oh that's all right, I'm coming back later with your father.	5767
father	Ross	Oh good.	5768
father	Ross	What, do you think I'd just use my son as-as an excuse?	5925
father	Ross	What kind of father do you think I am?	5926
father	Monica	All right, sorry.	5927
father	Rachel	Well I-That's never gonna happen with Ross.	6177
father	Janice	Oh well that's what I thought about my first husband, now I'm lucky if my kid gets to spend the weekend with her father and the twins and little Ms. New Boobs.	6178
father	Phoebe	And Tim I just wanna say, good luck here.	6180
father	Ross	We laugh, we play.	6280
father	Ross	It's like we're father and son.	6281
father	Susan	Honey, relax. Ross is great with him.  Don't look so surprised. I'm a lovely person.	6282
father	Joey	Yeah. What-what did Tag say?	7996
father	Rachel	Tag is not the father! And Joey knows now?	7997
father	Joey	I do Rach. I do, and I so happy for you.	7998
father	Chandler	She's saving the rest for her divorce.	8424
father	Chandler	And any extra cash my father has he saves for his yearly trips to	8425
father	Rachel	Well what happened at dinner?	8426
father	Chandler	You're you.	9934
father	Chandler	When they were all over you to go into your father's pipe-fitting business, did you cave?	9935
father	Joey	No.	9936
mom	Dina	I mean, you're my favorite guy in the whole world.	592
mom	Dina	I'm not even scared to tell mom and dad.	593
mom	Dina	I was scared of telling you.	594
mom	Ross	Is that why in junior high you were the only one that hung out with that Ukrainian kid?	3074
mom	Monica	Yeah that, plus his mom used to put sour cream on everything!	3075
mom	Monica	Do you love her?	3077
mom	Rachel	What?	3646
mom	Dr. Long	Ten centimeters, you're about to become a mom.	3647
mom	Rachel	My God. Okay.  Ha-ha-ha beat ya! Sucker!	3648
mom	All	Hey!	3853
mom	Joey	Uh, Pheebs, about your mom...	3854
mom	Phoebe	Yeah?	3855
mom	Mrs. Geller	Hi	4249
mom	Ross	Hi!  Hey mom.	4250
mom	Rachel	This is such a great party! 35 years. Very impressive, do you guys have any pearls of wisdom?	4251
mom	Lydia	So how did you know I was even here?	4333
mom	Guy	Your mom called me. So is this her?	4334
mom	Lydia	No, this is a loaner.	4335
mom	Monica	Why would we do that?	5415
mom	Phoebe	Well, 'cause then they'd be like my mom used to make them, you know, before she died.	5416
mom	Monica	Ok, three kinds of potatoes coming up.	5417
mom	Phoebe	Yeah, uh-huh.	6161
mom	Phoebe	Yeah, oh, "Your mom probably won't kill herself," y'know?	6162
mom	Phoebe	I'm sorry, but I'm not hanging all my hopes of Rachel and I living together on-on "Probably!"	6163
mom	Mrs. Green	Of course I am!	6454
mom	Rachel	Oh mom, I swear I'm not an idiot.	6455
mom	Rachel	I've read all kinds of books on pregnancy and giving birth, but I-I just didn't think to read the part about what to do when the baby comes.	6456
mom	Monica	Look at this.	7388
mom	Ross	Oh, it looks like mom and dad's house.	7389
mom	Ross	Oh, it even has a tree with a broken limb out front and the uh, the window in the attic is...Oh my God!	7390
mom	Phoebe	What? What happened to the window in the attic?!	7392
mom	Monica	I can't believe mom and dad are selling the house!	7393
mom	Ross	I can't believe they-they didn't even tell us!	7394
mom	Monica	We're supposed to uh, be spending a romantic weekend together, it-it, what is the matter with you?	7663
mom	Chandler	I just want to watch a little television. What is the big deal? Geez, relax mom.	7664
mom	Monica	What did you say?	7665
mom	Rachel	I'm not?	8003
mom	Joey	Listen I uh...  It's a scary world out there especially if you're a single mom.	8004
mom	Joey	Y'know, I always felt like you and I have this-this special bond.	8005
mom	Monica	Oh, that's what I would do, forget mine.	8211
mom	Monica	Hey guys check it out! My mom sent me the paper!	8212
mom	Phoebe	Ooh, let's see it!	8213
mom	Rachel	And then whoever does gets the phone.	8402
mom	Rachel	All right, first name on the speed dial is mom.	8406
mom	Phoebe	Ohh, I lost my mom to suicide.	8407
mom	Rachel	Okay no way, you cannot use that to get the cute guy and the last blueberry muffin.	8408
mom	Rachel	No way, forget it.	9051
mom	Joey	C'mon, she's your mom!	9052
mom	Chandler	Exactly.	9053
mom	Rachel	Chandler, I gotta tell you, I love your mom's books!	9054
mom	Rachel	I love her books!	9055
mom	Chandler	Yeah, well, you wouldn't think it was cool if you're eleven years old and all your friends are passing around page 79 of 'Mistress Bitch.'	9058
mom	Ross	C'mon, Chandler, I love your mom. I think she's a blast.	9059
mom	Joey	Thank you.	9060
mom	Phoebe	Bob    had babies!	9592
mom	Phoebe	Bob's a mom!	9593
mom	Mike	Better think of a new name for him.	9594
mom	Rachel	Oh my God, what a great surprise! This is such a beautiful house.	10065
mom	Paul	Thank you, it's my mom's. So this is the kitchen.	10066
mom	Larry	Hey, ready for dinner?	10067
dad	Ross	Yes!! I knew it!!  Bye-bye! So long! Later!	275
dad	Joey	Oh this is great! I might actually get to play Ben's dad!	276
dad	Ross	Yeah!	277
dad	Joey	You're one to talk.	453
dad	Mr. Tribbiani	Joe, your dad's in love big time. And the worst part of it is, it's with two different women.	454
dad	Joey	Oh man. Please tell me one of 'em is Ma.	455
dad	Dina	I mean, you're my favorite guy in the whole world.	592
dad	Dina	I'm not even scared to tell mom and dad.	593
dad	Dina	I was scared of telling you.	594
dad	Phoebe	Looks like I was second to last.	845
dad	Monica	Chandler, we still haven't gotten an RSVP from your dad.	846
dad	Chandler	Oh! Right. Umm, maybe that's because I didn't send him an invitation.	847
dad	Phoebe	All good, thanks.  Do you maybe have a nickname have like a nickname that's easier to rhyme?	4110
dad	Monica	Didn't your dad used to call you Pumpkin?	4111
dad	Joey	Okay.	4112
dad	Mr. Geller	Why would you serve food on such a sharp stick?	4253
dad	Ross	That's a good question, dad. That's a good question	4254
dad	an	Congratulations you two!	4256
dad	Ross	Hey, uh-hey, why don't we get some shoes on ya, huh?	5370
dad	Ross	Hey, why don't you show dad how you can put your shoes on, in your room!	5371
dad	Ross	Yay!	5372
dad	Steve	Come on.	6011
dad	Steve	So, are you one of the ones who fooled around with my dad?	6012
dad	Joey	Do you have any respect for your body?	6013
dad	Monica	Look at this.	7388
dad	Ross	Oh, it looks like mom and dad's house.	7389
dad	Ross	Oh, it even has a tree with a broken limb out front and the uh, the window in the attic is...Oh my God!	7390
dad	Phoebe	What? What happened to the window in the attic?!	7392
dad	Monica	I can't believe mom and dad are selling the house!	7393
dad	Ross	I can't believe they-they didn't even tell us!	7394
dad	Mr. Geller	Well I don't know, I-I suppose we may have favored you unconsciously, you were a medical marvel! The doctor said your mother could	7425
dad	Ross	Dad, dad I don't want to hear about it.	7426
dad	Mr. Geller	Really?	7427
dad	Joey	You could?	7435
dad	Rachel	Yeah! I've been sailing my whole life. When I was fifteen my dad bought me my own boat.	7436
dad	Phoebe	Your own boat?	7437
dad	Ross	I mean look at him, look at you,	8503
dad	Joey	That's great. Listen, wouldn't it be great though if I got to play Ben's dad?	8504
dad	Ross	Joey, you look nothing like Ben.	8505
dad	Rachel	I'm telling you it's like watching Bambi learn how to walk.	9014
dad	Ross	You're drunk! Mom and dad are gonna be maaaaadd! Maybe I'm a little drunk.	9015
dad	Joey	Hey! Are those crab cakes?  Did I not tell ya to come straight to me when more crab cakes were ready?	9017
dad	Joey	And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know?	9931
dad	Joey	Now I'm looking at my dad, thinking...	9932
dad	Chandler	Hey, you're not him.	9933
dad	Phoebe	He was fine!	10233
dad	Ross	So your dad dropped by. He's a pleasant man!	10234
dad	Rachel	Oh no	10235
dad	Rachel	Ross I'm so sorry. Okay. I-I will promise I will straighten this out with him tomorrow in person, or via e-mail.	10237
dad	Ross	I don't care about your dad! I care about Mona! She was there and now she's totally freaked out!	10238
dad	Rachel	Oh okay, I'll fix that to. What's her e-mail address?	10239
son	Joey	Hey, you guys! Look what I found in the giiiiiiift shop.  Get up! Get up! Get up!	1223
son	Emily	I left a bra drying on the shower rod, you don't think your son will think it's yours and be horribly traumatised?	1224
son	Ross	Hey, if mommy can have a wife, daddy can have a bra.	1225
son	Ross	Hey, uh, you can ignore that.	1231
son	Emily	That's Carol with your son!	1232
son	The Singing Man	Morning's here! Sunshine is here! The sky is clear, the morning's here! The morning's here!	1233
son	Rachel	Oh, they're firemen guys.	2068
son	Susan	Your son.	2069
son	Ross	No-no-no. I don't have a son named Jordie. We all agreed, my son's name is Jamie.	2070
son	Carol	Well, Jamie was the name of Susan's first girlfriend, so we went back to Jordie.	2071
son	Rachel	Chandler!! You have the best taste in men!	5541
son	Chandler	Well, like father, like son.	5542
son	Rachel	Patrick and I had such a great time last night! I mean I think this could maybe turn into something serious.	5543
son	Sick Bastard	Honey I swear! I wasn't looking at her!	5672
son	Evil Bitch	She's in labor! You like that you sick son of a bitch!	5673
son	Ross	Umm. Umm, I'm-I'm just gonna-	5674
son	Ross	Of course he is!	5924
son	Ross	What, do you think I'd just use my son as-as an excuse?	5925
son	Ross	What kind of father do you think I am?	5926
son	Ross	We laugh, we play.	6280
son	Ross	It's like we're father and son.	6281
son	Susan	Honey, relax. Ross is great with him.  Don't look so surprised. I'm a lovely person.	6282
son	Joey	Damnit!	6338
son	Ross	I will be! Listen, I don't want you teaching my son that stuff anymore. Okay?	6343
son	Rachel	Fine.	6344
son	Chandler	Wh-why  would I when your name is Elaine?	7910
son	Chandler	Oh what a great picture of your son,  strapping!	7911
son	Chandler	That’s a picture of your daughter, isn’t it,  well she’s lovely.	7912
son	Rachel	Oh that.	8687
son	Ross	Yeah that! You know I hate practical jokes! They're mean and they're stupid and-and I don't want my son learning them!	8688
son	Cecilia	Y'know what? It doesn't matter! Because it is not true!	8689
son	Ross	Crazy lady thinks her mother is in a cat.	8963
son	Ross	Okay, y'know what, I have to go have dinner with my son, can I trust that when you see Phoebe, you will tell her.	8964
son	All	Yeah.	8965
son	Policeman	It's Petty.  I'll be right back with your ticket.	10184
son	Rachel	You have a son!	10185
son	Ross	I know. I know.	10186
daughter	Ross	Aw forget it, it's from	1460
daughter	Dr. Green	You think you can knock up my daughter and then not marry her?! I'm gonna kill you!!	1461
daughter	Ross	Y'know this is actually not a great time for me.	1462
daughter	Ross	Yes. Yes, yes I did.  But-but it was, it was just a one night thing. It meant nothing.	3520
daughter	Dr. Green	Oh? Really? That's what my daughter means to you? Nothing?	3521
daughter	Ross	No! No sir umm, she means a lot to me. I mean, I care-I-I love Rachel.	3522
daughter	Phoebe Sr	Ahh, yes.	3935
daughter	Phoebe	Hi Phoebe Abott, I'm your best friends daughter!	3936
daughter	Phoebe Sr	You're Erwin's daughter?!	3937
daughter	Phoebe	No, I-I mean your-your old best friend, here.  Lily, from high school. Remember?	3938
daughter	Ross	Hold on!	7875
daughter	Ross	Look, look, your daughter and I are supposed to leave tonight for our honeymoon, now-now you-you tell her that I'm gonna be at that airport and I hope that she'll be there too!	7876
daughter	Ross	Oh yeah, I said Rachel's name, but it didn't mean anything, Okay?	7877
daughter	Chandler	Oh what a great picture of your son,  strapping!	7911
daughter	Chandler	That’s a picture of your daughter, isn’t it,  well she’s lovely.	7912
daughter	Chandler	I like a girl with a strong jaw.	7913
twin	Rachel	Ross, she's not weird, she just wants her stuff to be one of a kind.	5340
twin	Ross	Huh. Y'know what's not one of a kind? A twin!	5341
twin	Rachel	Ooh, Phoebe's here! Okay, let's turn out all the lights and we'll just watch the movie!	5345
twin	Janice	Chandler,  you call me when this goes in the pooper.	8105
twin	Joey	I found my identical hand twin!	8107
twin	Phoebe	Ohh, you are	8108
twin	Phoebe	Look, I'm talking right now! You're-you mean her.	8347
twin	Ursula	Y'know, twin stuff is always a real big seller.	8348
twin	Phoebe	What?!	8349
aunt	Rachel	Phoebe, what? Umm...what?!	3603
aunt	Phoebe	Yeah, yeah, first there was my aunt Mary, and then there was umm, John, my mailman, and then my, my cowboy friend 'Albino Bob'.	3604
aunt	Rachel	And all these people actually died?	3605
aunt	Ross	Wait-oh-hey-huh, oh great now he knows, and I don't know!	5151
aunt	Monica	I'm sorry, I'm just excited about being an aunt!	5152
aunt	Joey	Or an uncle...	5153
uncle	Dina	Joey, I can't stand the thought of having this baby with you mad at me.	596
uncle	Dina	I want him to have his uncle.	597
uncle	Dina	Is my baby gonna have his Uncle Joey?	598
uncle	Dina	We're gonna be all right. I mean, even if we're not married this baby is gonna be so loved. Not just by us.	600
uncle	Joey	That's right! By his uncle too!	601
uncle	Bobby	And by you.	602
uncle	Chandler	Without me?!	4000
uncle	Emily	My uncle dragged us there. But, it actually it turned out to be really interesting.	4001
uncle	Ross	Yeah.	4002
uncle	Monica	I'm sorry, I'm just excited about being an aunt!	5152
uncle	Joey	Or an uncle...	5153
uncle	Chandler	Hey Phoebe!	5154
child	Chandler	What would you give to a kid if he wanted a ticket to play with?	770
child	Ticket Counter Attendant	Are you travelling with a child?	771
child	Chandler	No.	772
child	Joey	Come on man, really how old?!	1097
child	Chandler	Young! You're a man-child okay?! Now go get changed because everybody's ready and please, oh please, keep my underwear!	1098
child	Ross	And they knew about it?	1099
child	Ross	Oh uh, I'm sorry.	4619
child	Rachel	No Ross! Ross! Ross! My child has no father!	4620
child	Monica	Try feeding her again.	4621
child	Ross	Yeah, not as much as you used to love to play uncooked batter eater.	6398
child	Monica	Hey, it is unreasonable to expect a child to wait for a	6399
child	Ross	Ok, got the vent open.	6400
child	Monica	Oh, then you do know it.  So um what kind of things do you write about?	9448
child	Julio	Things that move me. The, the shadow of a tree, a child laughing, or this lip.	9449
child	Monica	Mine?  Right here?	9450
children	Chandler	No, because you're not a grandmother!	4568
children	Rachel	No I know, because to be a grandmother you have to be married and have children and I don't have any of those things.	4569
children	Rachel	That's why it's so funny.	4570
children	Ross	Okay, look, I-I know what you guys are going to say	5845
children	Phoebe	You two will have very hairy children.	5846
children	Ross	Okay, I didn't know you would say that.	5847
children	Joey	Ahhh..	7219
children	Chandler	Hello children!	7220
children	Joey	Hey! Wanna play some foosball? Please?	7221
children	Ross	The ride broke down.	7763
children	Ross	So, Carol and I went behind a couple of those mechanical Dutch children... then they fixed the ride, and we were asked never to return to the Magic Kingdom.	7764
children	Phoebe	Oh, Rachel.	7765
children	Man	I'm not your brother.	7786
children	Phoebe/Waitress	What about my children Drake?! Huh!?  No!! No!! No! God!	7787
children	Nurse	Why don’t we try massaging the breast to stimulate the flow.	7788
children	Phoebe	Okay.	8617
children	Jim	I write erotic novels, for children.	8618
children	Phoebe	What?!	8619
children	Cassie	It took you that long to figure it out, huh?	9772
children	Ross	Well I'm, I'm a little slow.  Just as our children would be.	9773
children	Phoebe	Relax every muscle in your body.	9774
parent	Monica	I know! I know! I am a terrible person! I mean, Chandler is never going to trust me with anything ever again!	7991
parent	Joey	Oh hey! You got my parent's gift!	7992
parent	Monica	Yeah. What is that?	7993
parents	Chandler	We just finished this magnificent Thanksgiving dinner.	1729
parents	Chandler	I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced.	1730
parents	Rachel	Oh my god.	1731
parents	Phoebe	I know.	2139
parents	Mrs. Geller	So Chandler, your parents must've been thrilled when you told them you were engaged.	2140
parents	Chandler	Oh yeah, I should probably call them.	2141
parents	Rachel	hormones, yeah.	2224
parents	Rachel	Your parents'?	2225
parents	Joshua	Yeah, they're out of town.	2226
parents	Pete	What do you think?	3217
parents	Monica	My parents will be so happy.	3218
parents	Chandler	Okay to come in?	3219
parents	Ross	In-in three minutes.	3401
parents	Joshua	Uhh, Rachel, my parents	3402
parents	Rachel	Ohh! It's so nice to meet you.  Hello.	3403
parents	Chandler	Am I naked again?!	3473
parents	Monica	We're supposed to meet my parents in 15 minutes.	3474
parents	Chandler	Yeah okay, I was just talking to the guys. Just look at them I mean, is it okay if they come visit?	3475
parents	Man	So we never got to hear about your wedding!	3492
parents	Ross	No, no, it was just our parents and 1 or 2 friends. It was a small wedding.	3494
parents	Monica	Hey!	3496
parents	Cliff	No.	4102
parents	Ross	Chandler Muriel Bing. Boy, your parents never gave you a chance did they?	4103
parents	Phoebe	Hey! You guys, I'm writing a holiday song for everyone. Do you want to hear it?	4104
parents	Joey and Ross	Oh, yeah. Yeah. Let her dangle.	6629
parents	Monica	I can't believe my parents are actually pressuring me to find one of you people.	6630
parents	Phoebe	Oh, God, just do it!  Call her! Stop being so testosteroney!	6631
parents	Paul	I wanted a big wheel.	6665
parents	Paul	And instead my parents got me this little plastic chicken that you hop around on.	6666
parents	Paul	It was embarrassing, kids made fun of me.	6667
parents	Chip	Oh, like I'd give up that job! Free popcorn and candy, anytime I want. I can get you free posters for your room.	7206
parents	Monica	Thanks, I'm set. Do you still live with your parents?	7207
parents	Chip	Oh yeah, but I can stay out as late as I want.	7208
parents	Phoebe	Yes, it was! It was him! Uh huh!  Okay, it was me!	7471
parents	Chandler	See Joe, that's why your parents told you not to jump on the bed.	7472
parents	Ross	Can I ask you something? Have you ever had a guy have a crush on you?	7473
parents	Rachel	His new girlfriend!	8421
parents	Monica	I can't believe this. Do you think that your parents could help pay for it?	8422
parents	Chandler	I don't know, my mother spent most of her money on her fourth wedding.	8423
parents	Rachel	Well what happened at dinner?	8426
parents	Monica	My parents spent the money for our wedding!	8427
parents	Phoebe	My God! What did you order?!	8428
parents	Joey	I knew I shouldn't have mentioned it! That's what I wanted to name my kid!	8730
parents	Mrs. Geller	What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well.	8731
parents	Mr. Geller	I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!	8732
parents	Ross	Thank God.	9764
parents	Cassie	I guess the last time we really hung out was when our parents rented that beach house together.	9765
parents	Ross	Oh right.	9766
parents	Ross	Postpone it?	9992
parents	Ross	Emily, do you think Monica realises how much our parents spent on this wedding?	9993
parents	Ross	Do you my sister's teeny-tiny little brain comprehends that people took time out of their lives to fly thousands of miles to be here, huh?	9994
parents	Joey	Ross! Can I talk to you for a second?	10349
parents	Ross	Oh, uh, can it wait a second Joey? I have to tell my parents something. No it can't? Okay.	10350
parents	Monica	You are so cute! How did you get to be so cute?	10351
