MotorSport_Vision | city | Fawkham
Israel | officialLanguage | Modern_Standard_Arabic
John_Mills | deathYear | 2005
Philippines | leader | Leni_Robredo
Philippines | leader | Leni_Robredo
Philippines | leader | Leni_Robredo
Philippines | leader | Leni_Robredo
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfStudents | 27400
German_Empire | currency | German_Papiermark
German_Empire | currency | German_Papiermark
German_Empire | currency | German_Papiermark
"HBO | timeshiftChannel | HBO East, HBO West"
"HBO | timeshiftChannel | HBO East, HBO West"
"HBO | timeshiftChannel | HBO East, HBO West"
Terence_Rattigan | deathYear | 1977-01-01
Terence_Rattigan | deathYear | 1977-01-01
Ciudad_Ayala | type | City
"Israel | leaderTitle | ""Prime Minister"""
"Israel | leaderTitle | ""Prime Minister"""
"Israel | leaderTitle | ""Prime Minister"""
Manila | isPartOf | Metro_Manila
Manila | isPartOf | Metro_Manila
It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor
It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor
It's_Great_to_Be_Young_(1956_film) | cinematography | Gilbert_Taylor
German_Empire | currency | South_German_gulden
German_Empire | currency | South_German_gulden
German_Empire | currency | South_German_gulden
Terence_Rattigan | birthDate | 1911-01-01
Terence_Rattigan | birthDate | 1911-01-01
Terence_Rattigan | birthDate | 1911-01-01
HBO | owner | Time_Warner
HBO | owner | Time_Warner
HBO | owner | Time_Warner
Petah_Tikva | leader | Itzik_Braverman
Petah_Tikva | leader | Itzik_Braverman
"La_Crosse,_Wisconsin | isPartOf | La_Crosse_County,_Wisconsin"
"La_Crosse,_Wisconsin | isPartOf | La_Crosse_County,_Wisconsin"
"La_Crosse,_Wisconsin | isPartOf | La_Crosse_County,_Wisconsin"
"La_Crosse,_Wisconsin | isPartOf | La_Crosse_County,_Wisconsin"
Liselotte_Grschebina | professionalField | Photographer
Liselotte_Grschebina | professionalField | Photographer
Terence_Rattigan | imdbId | 0711905
Terence_Rattigan | imdbId | 0711905
Terence_Rattigan | imdbId | 0711905
Detroit | isPartOf | Michigan
Detroit | isPartOf | Michigan
Detroit | isPartOf | Michigan
McVeagh_of_the_South_Seas | producer | The_Progressive_Motion_Picture_Company
McVeagh_of_the_South_Seas | producer | The_Progressive_Motion_Picture_Company
McVeagh_of_the_South_Seas | producer | The_Progressive_Motion_Picture_Company
HBO | formerName | The Green Channel
HBO | formerName | The Green Channel
Ciudad_Ayala | timeZone | Pacific_Standard_Time_Zone
Ciudad_Ayala | timeZone | Pacific_Standard_Time_Zone
"Detroit | isPartOf | Wayne_County,_Michigan"
"Detroit | isPartOf | Wayne_County,_Michigan"
"Detroit | isPartOf | Wayne_County,_Michigan"
Liselotte_Grschebina | deathPlace | Petah_Tikva
Tom_Sizemore | spouse | Maeve_Quinlan
Tom_Sizemore | spouse | Maeve_Quinlan
Tom_Sizemore | spouse | Maeve_Quinlan
McVeagh_of_the_South_Seas | imdbId | 0004319
McVeagh_of_the_South_Seas | imdbId | 0004319
McVeagh_of_the_South_Seas | imdbId | 0004319
Morelos | leader | Adrián_Rivera_Pérez
Morelos | leader | Adrián_Rivera_Pérez
Super_Capers | distributor | Roadside_Attractions
Super_Capers | distributor | Roadside_Attractions
Super_Capers | distributor | Roadside_Attractions
Pontiac | successor | Buick
Pontiac | successor | Buick
Pontiac | successor | Buick
Roadside_Attractions | foundingYear | 2003-01-01
Roadside_Attractions | foundingYear | 2003-01-01
Roadside_Attractions | foundingYear | 2003-01-01
Ciudad_Ayala | populationMetro | 1777539
Ciudad_Ayala | populationMetro | 1777539
University_of_Burgundy | staff | 2900
University_of_Burgundy | staff | 2900
University_of_Burgundy | staff | 2900
Death_on_a_Factory_Farm | director | Sarah_Teale
Death_on_a_Factory_Farm | director | Sarah_Teale
Death_on_a_Factory_Farm | director | Sarah_Teale
Michael_Rooker | birthYear | 1955-01-01
Michael_Rooker | birthYear | 1955-01-01
English_Without_Tears | cinematography | Bernard_Knowles
English_Without_Tears | cinematography | Bernard_Knowles
English_Without_Tears | cinematography | Bernard_Knowles
Tom_Sizemore | activeYearsStartYear | 1989-01-01
Tom_Sizemore | activeYearsStartYear | 1989-01-01
Tom_Sizemore | activeYearsStartYear | 1989-01-01
Morelos | areaTotal | 4879.0
Morelos | areaTotal | 4879.0
Morelos | areaTotal | 4879.0
Ciudad_Ayala | governmentType | Council-manager_government
Ciudad_Ayala | governmentType | Council-manager_government
Ciudad_Ayala | governmentType | Council-manager_government
Lionsgate | keyPerson | Michael_R._Burns
Lionsgate | keyPerson | Michael_R._Burns
Lionsgate | keyPerson | Michael_R._Burns
Ciudad_Ayala | utcOffset | −6
Ciudad_Ayala | utcOffset | −6
Ciudad_Ayala | utcOffset | −6
Super_Capers | writer | Ray_Griggs_(director)
Super_Capers | writer | Ray_Griggs_(director)
Super_Capers | writer | Ray_Griggs_(director)
English_Without_Tears | editing | Alan_Jaggs
English_Without_Tears | editing | Alan_Jaggs
English_Without_Tears | editing | Alan_Jaggs
"John_Mills | deathPlace | Denham,_Buckinghamshire"
"John_Mills | deathPlace | Denham,_Buckinghamshire"
Super_Capers | starring | Adam_West
Super_Capers | starring | Adam_West
Super_Capers | starring | Adam_West
Jamie_Lawrence | birthDate | 1970-03-08
Jamie_Lawrence | birthDate | 1970-03-08
Jamie_Lawrence | birthDate | 1970-03-08
"Israel | longName | ""State of Israel"""
"Israel | longName | ""State of Israel"""
"Israel | longName | ""State of Israel"""
Michael_Rooker | birthDate | 1955-04-06
Michael_Rooker | birthDate | 1955-04-06
Michael_Rooker | birthDate | 1955-04-06
Mexico | areaTotal | 1972550.0
Mexico | areaTotal | 1972550.0
Mexico | areaTotal | 1972550.0
Pontiac_Rageous | assembly | Detroit
Pontiac_Rageous | assembly | Detroit
University_of_Burgundy | country | France
University_of_Burgundy | country | France
MotorSport_Vision | city | Kent
MotorSport_Vision | city | Kent
MotorSport_Vision | city | Kent
McVeagh_of_the_South_Seas | writer | Harry_Carey_(actor_born_1878)
McVeagh_of_the_South_Seas | writer | Harry_Carey_(actor_born_1878)
McVeagh_of_the_South_Seas | writer | Harry_Carey_(actor_born_1878)
Ciudad_Ayala | leader | Juan_Nolasco
Ciudad_Ayala | leader | Juan_Nolasco
GMA_New_Media | product | Online_Game
GMA_New_Media | product | Online_Game
GMA_New_Media | product | Online_Game
GMA_New_Media | product | Online_Game
McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation
McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation
McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision
Liselotte_Grschebina | birthPlace | German_Empire
Liselotte_Grschebina | birthPlace | German_Empire
"Mexico | leaderTitle | ""President of the Senate"""
"Mexico | leaderTitle | ""President of the Senate"""
"Mexico | leaderTitle | ""President of the Senate"""
Dijon | elevationAboveTheSeaLevel | 245.0
Dijon | elevationAboveTheSeaLevel | 245.0
Dijon | elevationAboveTheSeaLevel | 245.0
Super_Capers | starring | Justin_Whalin
Super_Capers | starring | Justin_Whalin
Super_Capers | starring | Justin_Whalin
GMA_New_Media | parentCompany | GMA_Network_(company)
GMA_New_Media | parentCompany | GMA_Network_(company)
GMA_New_Media | parentCompany | GMA_Network_(company)
GMA_New_Media | parentCompany | GMA_Network_(company)
Petah_Tikva | country | Israel
Petah_Tikva | country | Israel
Petah_Tikva | country | Israel
Harold_French | activeYearsStartYear | 1920-01-01
Harold_French | activeYearsStartYear | 1920-01-01
Harold_French | activeYearsStartYear | 1920-01-01
Israel | ethnicGroup | Arab_citizens_of_Israel
Israel | ethnicGroup | Arab_citizens_of_Israel
Israel | ethnicGroup | Arab_citizens_of_Israel
Anatole_de_Grunwald | deathPlace | London
AmeriGas | numberOfEmployees | 8500
AmeriGas | numberOfEmployees | 8500
AmeriGas | numberOfEmployees | 8500
English_Without_Tears | writer | Terence_Rattigan
English_Without_Tears | writer | Terence_Rattigan
English_Without_Tears | writer | Terence_Rattigan
Adam_West | activeYearsStartYear | 1954-01-01
Adam_West | activeYearsStartYear | 1954-01-01
Adam_West | activeYearsStartYear | 1954-01-01
MotorSport_Vision | city | Longfield
MotorSport_Vision | city | Longfield
MotorSport_Vision | city | Longfield
Bedford_Aerodrome | elevationAboveTheSeaLevel | 83.2104
Bedford_Aerodrome | elevationAboveTheSeaLevel | 83.2104
Bedford_Aerodrome | elevationAboveTheSeaLevel | 83.2104
Bedford_Aerodrome | runwayLength | 1095.0
Bedford_Aerodrome | runwayLength | 1095.0
Ciudad_Ayala | isPartOf | Morelos
Ciudad_Ayala | isPartOf | Morelos
German_Empire | foundingDate | 1871-01-01
German_Empire | foundingDate | 1871-01-01
German_Empire | foundingDate | 1871-01-01
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | numberOfPostgraduateStudents | 9400
Trane | operatingIncome | 875400000
Trane | operatingIncome | 875400000
Trane | operatingIncome | 875400000
"La_Crosse,_Wisconsin | leaderTitle | Mayor"
"La_Crosse,_Wisconsin | leaderTitle | Mayor"
"La_Crosse,_Wisconsin | leaderTitle | Mayor"
"La_Crosse,_Wisconsin | leaderTitle | Mayor"
Bedford_Aerodrome | icaoLocationIdentifier | EGBF
Bedford_Aerodrome | icaoLocationIdentifier | EGBF
Bedford_Aerodrome | icaoLocationIdentifier | EGBF
Karlsruhe | leaderTitle | Oberbürgermeister
Karlsruhe | leaderTitle | Oberbürgermeister
It's_Great_to_Be_Young_(1956_film) | runtime | 94.0
It's_Great_to_Be_Young_(1956_film) | runtime | 94.0
It's_Great_to_Be_Young_(1956_film) | runtime | 94.0
John_Mills | spouse | Aileen_Raymond
John_Mills | spouse | Aileen_Raymond
Lionsgate | service | Digital_distribution
Lionsgate | service | Digital_distribution
Lionsgate | service | Digital_distribution
Pontiac | extinctionDate | 2010-10-31
Pontiac | extinctionDate | 2010-10-31
English_Without_Tears | runtime | 89.0
English_Without_Tears | runtime | 89.0
English_Without_Tears | runtime | 89.0
Mexico | leader | Roberto_Gil_Zuarth
Mexico | leader | Roberto_Gil_Zuarth
Mexico | leader | Roberto_Gil_Zuarth
University_of_Burgundy | campus | Dijon
University_of_Burgundy | campus | Dijon
University_of_Burgundy | campus | Dijon
Karlsruhe | areaTotal | 173.46
Karlsruhe | areaTotal | 173.46
Karlsruhe | areaTotal | 173.46
Nicholas_Brodszky | background | non_performing_personnel
Nicholas_Brodszky | background | non_performing_personnel
Nicholas_Brodszky | background | non_performing_personnel
Bedford_Aerodrome | runwaySurfaceType | Concrete
Bedford_Aerodrome | runwaySurfaceType | Concrete
Bedford_Aerodrome | runwaySurfaceType | Concrete
Bedford_Aerodrome | location | Thurleigh
Bedford_Aerodrome | location | Thurleigh
Death_on_a_Factory_Farm | producer | Tom_Simon
Death_on_a_Factory_Farm | producer | Tom_Simon
Death_on_a_Factory_Farm | producer | Tom_Simon
Lionsgate | location | United_States
Lionsgate | location | United_States
Lionsgate | location | United_States
"France | longName | ""French Republic"""
"France | longName | ""French Republic"""
"France | longName | ""French Republic"""
Death_on_a_Factory_Farm | editor | Geof_Bartz
Death_on_a_Factory_Farm | editor | Geof_Bartz
Death_on_a_Factory_Farm | editor | Geof_Bartz
Death_on_a_Factory_Farm | runtime | 83.0
Death_on_a_Factory_Farm | runtime | 83.0
Death_on_a_Factory_Farm | runtime | 83.0
Liselotte_Grschebina | birthDate | 1908-05-02
Liselotte_Grschebina | birthDate | 1908-05-02
Liselotte_Grschebina | birthDate | 1908-05-02
Karlsruhe | elevationAboveTheSeaLevel | 115.0
Karlsruhe | elevationAboveTheSeaLevel | 115.0
Karlsruhe | elevationAboveTheSeaLevel | 115.0
Dijon | postalCode | 21000
Dijon | postalCode | 21000
Super_Capers | gross | 30955.0
Super_Capers | gross | 30955.0
Super_Capers | gross | 30955.0
Super_Capers | language | English_language
Super_Capers | language | English_language
Super_Capers | language | English_language
It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy
It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy
It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy
Lionsgate | industry | Entertainment
Lionsgate | industry | Entertainment
Lionsgate | industry | Entertainment
John_Mills | child | Juliet_Mills
John_Mills | child | Juliet_Mills
John_Mills | child | Juliet_Mills
Pontiac_Rageous | manufacturer | Pontiac
Pontiac_Rageous | manufacturer | Pontiac
Thurleigh | ceremonialCounty | Bedfordshire
Lionsgate | service | Broadcast_programming
Lionsgate | service | Broadcast_programming
Lionsgate | service | Broadcast_programming
GMA_Network_(company) | type | Public_company
GMA_Network_(company) | type | Public_company
Hypermarcas | keyPerson | CEO
Hypermarcas | keyPerson | CEO
Hypermarcas | keyPerson | CEO
Hypermarcas | keyPerson | CEO
English_Without_Tears | director | Harold_French
English_Without_Tears | director | Harold_French
English_Without_Tears | director | Harold_French
"Petah_Tikva | meaning | ""Opening of hope"""
"Petah_Tikva | meaning | ""Opening of hope"""
Lionsgate | keyPerson | Jon_Feltheimer
Lionsgate | keyPerson | Jon_Feltheimer
Lionsgate | keyPerson | Jon_Feltheimer
Max_Benedict | deathPlace | London
Max_Benedict | deathPlace | London
Super_Capers | starring | Michael_Rooker
Super_Capers | starring | Michael_Rooker
Super_Capers | starring | Michael_Rooker
Ciudad_Ayala | leaderTitle | Governator
Ciudad_Ayala | leaderTitle | Governator
Pontiac_Rageous | bodyStyle | Coupe
Pontiac_Rageous | bodyStyle | Coupe
Pontiac_Rageous | bodyStyle | Coupe
"La_Crosse,_Wisconsin | elevationAboveTheSeaLevel | 204.0"
"La_Crosse,_Wisconsin | elevationAboveTheSeaLevel | 204.0"
"La_Crosse,_Wisconsin | elevationAboveTheSeaLevel | 204.0"
"La_Crosse,_Wisconsin | elevationAboveTheSeaLevel | 204.0"
Ciudad_Ayala | timeZone | Pacific_Daylight_Time
Ciudad_Ayala | timeZone | Pacific_Daylight_Time
Ciudad_Ayala | timeZone | Pacific_Daylight_Time
Pontiac | parentCompany | General_Motors
Pontiac | parentCompany | General_Motors
Pontiac | parentCompany | General_Motors
MotorSport_Vision | foundingYear | 2004
MotorSport_Vision | foundingYear | 2004
Max_Benedict | activeYearsStartYear | 1947-01-01
Max_Benedict | activeYearsStartYear | 1947-01-01
Max_Benedict | activeYearsStartYear | 1947-01-01
John_Mills | spouse | Mary_Hayley_Bell
John_Mills | spouse | Mary_Hayley_Bell
John_Mills | spouse | Mary_Hayley_Bell
Justin_Whalin | birthPlace | San_Francisco
Justin_Whalin | birthPlace | San_Francisco
Morelos | leaderTitle | Governor
Morelos | leaderTitle | Governor
Morelos | leaderTitle | Governor
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | numberOfDoctoralStudents | 1299
Justin_Whalin | occupation | Presenter
Justin_Whalin | occupation | Presenter
Justin_Whalin | occupation | Presenter
Cyril_Frankel | birthPlace | United_Kingdom
Cyril_Frankel | birthPlace | United_Kingdom
Cyril_Frankel | birthPlace | United_Kingdom
Harold_French | birthPlace | UK
Harold_French | birthPlace | UK
Harold_French | birthPlace | UK
Liselotte_Grschebina | nationality | Israel
Liselotte_Grschebina | nationality | Israel
Liselotte_Grschebina | nationality | Israel
"Super_Capers | starring | Tom_Lister,_Jr."
"Super_Capers | starring | Tom_Lister,_Jr."
"Super_Capers | starring | Tom_Lister,_Jr."
Pontiac | product | Automobile
Pontiac | product | Automobile
Pontiac | product | Automobile
"Brazil | leaderTitle | ""Vice President"""
"Brazil | leaderTitle | ""Vice President"""
"Brazil | leaderTitle | ""Vice President"""
"Brazil | leaderTitle | ""Vice President"""
It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
English_Without_Tears | releaseDate | 1944-07-28
English_Without_Tears | releaseDate | 1944-07-28
English_Without_Tears | releaseDate | 1944-07-28
Harold_French | occupation | Film_director
Harold_French | occupation | Film_director
Harold_French | occupation | Film_director
Death_on_a_Factory_Farm | director | Tom_Simon
Death_on_a_Factory_Farm | director | Tom_Simon
Death_on_a_Factory_Farm | director | Tom_Simon
"Ciudad_Ayala | leaderTitle | ""City Manager"""
"Ciudad_Ayala | leaderTitle | ""City Manager"""
Pontiac_Rageous | productionEndYear | 1997
Pontiac_Rageous | productionEndYear | 1997
Cyril_Frankel | occupation | Television_director
Cyril_Frankel | occupation | Television_director
Cyril_Frankel | occupation | Television_director
John_Mills | child | Hayley_Mills
John_Mills | child | Hayley_Mills
John_Mills | child | Hayley_Mills
Terence_Rattigan | deathDate | 1977-11-30
Terence_Rattigan | deathDate | 1977-11-30
Terence_Rattigan | deathDate | 1977-11-30
English_language | iso6392Code | eng
English_language | iso6392Code | eng
English_language | iso6392Code | eng
Hypermarcas | numberOfEmployees | 10252
Hypermarcas | numberOfEmployees | 10252
Hypermarcas | numberOfEmployees | 10252
Pontiac_Rageous | assembly | Michigan
Pontiac_Rageous | assembly | Michigan
Anatole_de_Grunwald | birthPlace | Saint_Petersburg
Anatole_de_Grunwald | birthPlace | Saint_Petersburg
Anatole_de_Grunwald | birthPlace | Saint_Petersburg
Morelos | isPartOf | Cuernavaca
Morelos | isPartOf | Cuernavaca
Liselotte_Grschebina | deathDate | 1994-06-14
Liselotte_Grschebina | deathDate | 1994-06-14
"Mexico | leaderTitle | ""President of the Chamber of Deputies"""
"Mexico | leaderTitle | ""President of the Chamber of Deputies"""
"Mexico | leaderTitle | ""President of the Chamber of Deputies"""
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills
English_Without_Tears | writer | Anatole_de_Grunwald
English_Without_Tears | writer | Anatole_de_Grunwald
English_Without_Tears | writer | Anatole_de_Grunwald
