,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source,AUTOMATIC - System llh,AUTOMATIC - MLM llh,HUMAN - Overall Human Rating,HUMAN - Interesting,HUMAN - Engaging,HUMAN - Specific,HUMAN - Relevant,HUMAN - Correct,HUMAN - Semantically Appropriate,HUMAN - Understandable,HUMAN - Fluent
GROUP A - Centrality entropy,1.0000000000000002,0.9999999999999998,,,,,,,0.9999999999999998,,1.0,1.0000000000000004,1.0,,,,,,,0.9999999999999998,1.0000000000000007,1.0000000000000002,1.0000000000000002,1.0000000000000002,,1.0000000000000002,,1.0000000000000002,,,,1.0000000000000002,1.0000000000000002,,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,-0.06025582810896789,-0.2346406753038163,-0.632455532033676,0.09390602830316855,-0.21821789023599256,-0.07344210820653857,-0.3492151478847891,-0.35634832254989923,-0.3110026075493224,-0.31782086308186386,-0.19556059570949383
GROUP A - Closeness entropy,1.0,1.0,,,,,,,1.0000000000000002,,1.0000000000000004,1.0,1.0,,,,,,,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.060255828108967895,-0.23464067530381635,-0.6324555320336761,0.09390602830316849,-0.21821789023599258,-0.07344210820653867,-0.3492151478847891,-0.35634832254989923,-0.3110026075493225,-0.3178208630818639,-0.19556059570949377
GROUP A - Sparseness,0.9999999999999997,0.9999999999999999,,,,,,,1.0000000000000002,,1.0,1.0,1.0,,,,,,,0.9999999999999999,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002,,1.0000000000000002,,1.0000000000000002,,,,1.0000000000000002,1.0000000000000002,,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,-0.06025582810896794,-0.2346406753038165,-0.632455532033676,0.09390602830316859,-0.21821789023599253,-0.0734421082065386,-0.34921514788478925,-0.35634832254989934,-0.3110026075493226,-0.3178208630818638,-0.19556059570949388
GROUP B - Total classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP B - Total properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP B - Average population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP B - Attribute richness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP B - Relationship richness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP B - Total axioms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP C - Total triples,0.9999999999999997,1.0,,,,,,,0.9999999999999999,,0.9999999999999998,0.9999999999999998,0.9999999999999999,,,,,,,1.0,1.0000000000000004,0.9999999999999998,0.9999999999999998,0.9999999999999998,,0.9999999999999998,,0.9999999999999998,,,,0.9999999999999998,0.9999999999999998,,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,-0.06025582810896811,-0.2346406753038165,-0.6324555320336762,0.09390602830316863,-0.2182178902359924,-0.07344210820653853,-0.34921514788478913,-0.35634832254989923,-0.3110026075493226,-0.31782086308186386,-0.19556059570949386
GROUP C - Total world instances,0.9999999999999998,1.0000000000000004,,,,,,,1.0,,1.0000000000000007,1.0000000000000002,1.0000000000000004,,,,,,,1.0000000000000004,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.060255828108968054,-0.23464067530381646,-0.6324555320336758,0.09390602830316862,-0.21821789023599253,-0.07344210820653857,-0.34921514788478913,-0.35634832254989923,-0.31100260754932246,-0.3178208630818639,-0.1955605957094938
GROUP C - Total claims,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Total perspectives,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Total mentions,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Total conflicts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP C - Total sources,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Total interactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP C - Total utterances,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Ratio claim to triples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP C - Ratio perspectives to triples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP C - Ratio conflicts to triples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP C - Ratio perspectives to claims,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Ratio mentions to claims,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Ratio conflicts to claims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP C - Average perspectives per claim,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Average mentions per claim,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Average turns per interaction,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Average claims per source,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
GROUP C - Average perspectives per source,1.0000000000000002,0.9999999999999998,,,,,,,1.0,,1.0000000000000002,1.0,1.0000000000000002,,,,,,,0.9999999999999998,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,-0.06025582810896806,-0.23464067530381644,-0.6324555320336762,0.09390602830316865,-0.2182178902359925,-0.07344210820653845,-0.34921514788478897,-0.35634832254989934,-0.3110026075493225,-0.3178208630818639,-0.1955605957094939
AUTOMATIC - System llh,-0.06025582810896778,-0.06025582810896811,,,,,,,-0.06025582810896806,,-0.06025582810896789,-0.060255828108967895,-0.06025582810896794,,,,,,,-0.06025582810896811,-0.060255828108968054,-0.06025582810896806,-0.06025582810896806,-0.06025582810896806,,-0.06025582810896806,,-0.06025582810896806,,,,-0.06025582810896806,-0.06025582810896806,,-0.06025582810896806,-0.06025582810896806,-0.06025582810896806,-0.06025582810896806,-0.06025582810896806,1.0,0.8446029823489299,-0.03689851287796237,-0.16411962518413087,-0.17118218080789135,-0.38852239062324473,-0.252686010443372,-0.10136178237641769,-0.10427050999035464,-0.20669353300629908,0.13849628502371517
AUTOMATIC - MLM llh,-0.23464067530381622,-0.2346406753038165,,,,,,,-0.23464067530381644,,-0.2346406753038163,-0.23464067530381635,-0.2346406753038165,,,,,,,-0.2346406753038165,-0.23464067530381646,-0.23464067530381644,-0.23464067530381644,-0.23464067530381644,,-0.23464067530381644,,-0.23464067530381644,,,,-0.23464067530381644,-0.23464067530381644,,-0.23464067530381644,-0.23464067530381644,-0.23464067530381644,-0.23464067530381644,-0.23464067530381644,0.8446029823489299,1.0,0.24313230378573725,-0.062379109304337356,0.026241540160584456,-0.1611909934149686,0.022264686997765827,0.07874457523629247,0.09675029297543258,-0.06789447933263926,0.07829221275658407
HUMAN - Overall Human Rating,-0.6324555320336759,-0.6324555320336762,,,,,,,-0.6324555320336762,,-0.632455532033676,-0.6324555320336761,-0.632455532033676,,,,,,,-0.6324555320336762,-0.6324555320336758,-0.6324555320336762,-0.6324555320336762,-0.6324555320336762,,-0.6324555320336762,,-0.6324555320336762,,,,-0.6324555320336762,-0.6324555320336762,,-0.6324555320336762,-0.6324555320336762,-0.6324555320336762,-0.6324555320336762,-0.6324555320336762,-0.03689851287796237,0.24313230378573725,1.0,0.5152098373193083,0.653162430341455,0.5809475019311126,0.6970209109409969,0.737563556583431,0.6757246285173464,0.5988494716163423,0.3037026409461188
HUMAN - Interesting,0.09390602830316859,0.09390602830316863,,,,,,,0.09390602830316865,,0.09390602830316855,0.09390602830316849,0.09390602830316859,,,,,,,0.09390602830316863,0.09390602830316862,0.09390602830316865,0.09390602830316865,0.09390602830316865,,0.09390602830316865,,0.09390602830316865,,,,0.09390602830316865,0.09390602830316865,,0.09390602830316865,0.09390602830316865,0.09390602830316865,0.09390602830316865,0.09390602830316865,-0.16411962518413087,-0.062379109304337356,0.5152098373193083,1.0,0.9221388919541467,0.7075969765876657,0.4919011134174626,0.4517539514526254,0.6929554666415653,0.5372153093502534,0.2161339062968516
HUMAN - Engaging,-0.21821789023599242,-0.2182178902359924,,,,,,,-0.2182178902359925,,-0.21821789023599256,-0.21821789023599258,-0.21821789023599253,,,,,,,-0.2182178902359924,-0.21821789023599253,-0.2182178902359925,-0.2182178902359925,-0.2182178902359925,,-0.2182178902359925,,-0.2182178902359925,,,,-0.2182178902359925,-0.2182178902359925,,-0.2182178902359925,-0.2182178902359925,-0.2182178902359925,-0.2182178902359925,-0.2182178902359925,-0.17118218080789135,0.026241540160584456,0.653162430341455,0.9221388919541467,1.0,0.7692663315510871,0.6096399424789499,0.41796848785585994,0.6848329953982647,0.572172135271329,0.1575685684025339
HUMAN - Specific,-0.0734421082065386,-0.07344210820653853,,,,,,,-0.07344210820653845,,-0.07344210820653857,-0.07344210820653867,-0.0734421082065386,,,,,,,-0.07344210820653853,-0.07344210820653857,-0.07344210820653845,-0.07344210820653845,-0.07344210820653845,,-0.07344210820653845,,-0.07344210820653845,,,,-0.07344210820653845,-0.07344210820653845,,-0.07344210820653845,-0.07344210820653845,-0.07344210820653845,-0.07344210820653845,-0.07344210820653845,-0.38852239062324473,-0.1611909934149686,0.5809475019311126,0.7075969765876657,0.7692663315510871,1.0,0.6309185782865998,0.27479520667124635,0.541947213432358,0.3781312343114107,-0.1292614418792864
HUMAN - Relevant,-0.3492151478847892,-0.34921514788478913,,,,,,,-0.34921514788478897,,-0.3492151478847891,-0.3492151478847891,-0.34921514788478925,,,,,,,-0.34921514788478913,-0.34921514788478913,-0.34921514788478897,-0.34921514788478897,-0.34921514788478897,,-0.34921514788478897,,-0.34921514788478897,,,,-0.34921514788478897,-0.34921514788478897,,-0.34921514788478897,-0.34921514788478897,-0.34921514788478897,-0.34921514788478897,-0.34921514788478897,-0.252686010443372,0.022264686997765827,0.6970209109409969,0.4919011134174626,0.6096399424789499,0.6309185782865998,1.0,0.6844322768676776,0.6220208872761073,0.5660380844802227,0.047279577012319565
HUMAN - Correct,-0.356348322549899,-0.35634832254989923,,,,,,,-0.35634832254989934,,-0.35634832254989923,-0.35634832254989923,-0.35634832254989934,,,,,,,-0.35634832254989923,-0.35634832254989923,-0.35634832254989934,-0.35634832254989934,-0.35634832254989934,,-0.35634832254989934,,-0.35634832254989934,,,,-0.35634832254989934,-0.35634832254989934,,-0.35634832254989934,-0.35634832254989934,-0.35634832254989934,-0.35634832254989934,-0.35634832254989934,-0.10136178237641769,0.07874457523629247,0.737563556583431,0.4517539514526254,0.41796848785585994,0.27479520667124635,0.6844322768676776,1.0,0.778295558414394,0.7644707871564383,0.5387394514548216
HUMAN - Semantically Appropriate,-0.3110026075493224,-0.3110026075493226,,,,,,,-0.3110026075493225,,-0.3110026075493224,-0.3110026075493225,-0.3110026075493226,,,,,,,-0.3110026075493226,-0.31100260754932246,-0.3110026075493225,-0.3110026075493225,-0.3110026075493225,,-0.3110026075493225,,-0.3110026075493225,,,,-0.3110026075493225,-0.3110026075493225,,-0.3110026075493225,-0.3110026075493225,-0.3110026075493225,-0.3110026075493225,-0.3110026075493225,-0.10427050999035464,0.09675029297543258,0.6757246285173464,0.6929554666415653,0.6848329953982647,0.541947213432358,0.6220208872761073,0.778295558414394,1.0,0.8491522337152182,0.6392464501043764
HUMAN - Understandable,-0.3178208630818638,-0.31782086308186386,,,,,,,-0.3178208630818639,,-0.31782086308186386,-0.3178208630818639,-0.3178208630818638,,,,,,,-0.31782086308186386,-0.3178208630818639,-0.3178208630818639,-0.3178208630818639,-0.3178208630818639,,-0.3178208630818639,,-0.3178208630818639,,,,-0.3178208630818639,-0.3178208630818639,,-0.3178208630818639,-0.3178208630818639,-0.3178208630818639,-0.3178208630818639,-0.3178208630818639,-0.20669353300629908,-0.06789447933263926,0.5988494716163423,0.5372153093502534,0.572172135271329,0.3781312343114107,0.5660380844802227,0.7644707871564383,0.8491522337152182,1.0,0.6454374644062537
HUMAN - Fluent,-0.19556059570949375,-0.19556059570949386,,,,,,,-0.1955605957094939,,-0.19556059570949383,-0.19556059570949377,-0.19556059570949388,,,,,,,-0.19556059570949386,-0.1955605957094938,-0.1955605957094939,-0.1955605957094939,-0.1955605957094939,,-0.1955605957094939,,-0.1955605957094939,,,,-0.1955605957094939,-0.1955605957094939,,-0.1955605957094939,-0.1955605957094939,-0.1955605957094939,-0.1955605957094939,-0.1955605957094939,0.13849628502371517,0.07829221275658407,0.3037026409461188,0.2161339062968516,0.1575685684025339,-0.1292614418792864,0.047279577012319565,0.5387394514548216,0.6392464501043764,0.6454374644062537,1.0
